"",BBFN1.M.DE.N.1.L.NG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Nigeria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:35,
1994-12,0.896,
1995-01,0.928,
1995-02,0.990,
1995-03,0.994,
1995-04,1.034,
1995-05,1.035,
1995-06,1.010,
1995-07,0.981,
1995-08,0.890,
1995-09,0.845,
1995-10,0.889,
1995-11,0.889,
1995-12,0.874,
1996-01,0.848,
1996-02,0.856,
1996-03,0.845,
1996-04,0.836,
1996-05,0.841,
1996-06,0.851,
1996-07,0.888,
1996-08,0.874,
1996-09,0.873,
1996-10,0.945,
1996-11,0.936,
1996-12,0.997,
1997-01,1.023,
1997-02,1.068,
1997-03,1.070,
1997-04,1.060,
1997-05,0.999,
1997-06,0.972,
1997-07,1.077,
1997-08,1.028,
1997-09,1.008,
1997-10,1.016,
1997-11,0.982,
1997-12,0.954,
1998-01,0.944,
1998-02,1.004,
1998-03,0.957,
1998-04,0.896,
1998-05,0.867,
1998-06,0.668,
1998-07,0.653,
1998-08,0.642,
1998-09,0.633,
1998-10,0.639,
1998-11,0.672,
1998-12,0.675,
1999-01,0.682,
1999-02,0.700,
1999-03,0.669,
1999-04,0.637,
1999-05,0.662,
1999-06,0.636,
1999-07,0.616,
1999-08,0.629,
1999-09,0.615,
1999-10,0.615,
1999-11,0.657,
1999-12,0.604,
2000-01,0.609,
2000-02,0.605,
2000-03,0.554,
2000-04,0.550,
2000-05,0.530,
2000-06,0.504,
2000-07,0.559,
2000-08,0.505,
2000-09,0.498,
2000-10,0.477,
2000-11,0.459,
2000-12,0.443,
2001-01,0.426,
2001-02,0.511,
2001-03,0.495,
2001-04,0.466,
2001-05,0.491,
2001-06,0.482,
2001-07,0.356,
2001-08,0.459,
2001-09,0.516,
2001-10,0.521,
2001-11,0.530,
2001-12,0.502,
2002-01,0.475,
2002-02,0.508,
2002-03,0.416,
2002-04,0.412,
2002-05,0.427,
2002-06,0.439,
2002-07,0.458,
2002-08,0.402,
2002-09,0.448,
2002-10,0.433,
2002-11,0.436,
2002-12,0.419,
2003-01,0.421,
2003-02,0.391,
2003-03,0.387,
2003-04,0.315,
2003-05,0.327,
2003-06,0.331,
2003-07,0.332,
2003-08,0.337,
2003-09,0.348,
2003-10,0.355,
2003-11,0.335,
2003-12,0.373,
2004-01,0.369,
2004-02,0.339,
2004-03,0.335,
2004-04,0.282,
2004-05,0.295,
2004-06,0.285,
2004-07,0.320,
2004-08,0.328,
2004-09,0.319,
2004-10,0.320,
2004-11,0.317,
2004-12,0.180,
2005-01,0.188,
2005-02,0.202,
2005-03,0.192,
2005-04,0.189,
2005-05,0.198,
2005-06,0.200,
2005-07,0.265,
2005-08,0.255,
2005-09,0.277,
2005-10,0.276,
2005-11,0.269,
2005-12,0.255,
2006-01,0.253,
2006-02,0.256,
2006-03,0.249,
2006-04,0.243,
2006-05,0.296,
2006-06,0.286,
2006-07,0.287,
2006-08,0.285,
2006-09,0.286,
2006-10,0.292,
2006-11,0.289,
2006-12,0.275,
2007-01,0.284,
2007-02,0.284,
2007-03,0.276,
2007-04,0.279,
2007-05,0.143,
2007-06,0.134,
2007-07,0.146,
2007-08,0.149,
2007-09,0.176,
2007-10,0.169,
2007-11,0.164,
2007-12,0.148,
2008-01,0.149,
2008-02,0.125,
2008-03,0.121,
2008-04,0.114,
2008-05,0.123,
2008-06,0.151,
2008-07,0.176,
2008-08,0.181,
2008-09,0.194,
2008-10,0.183,
2008-11,0.179,
2008-12,0.259,
2009-01,0.264,
2009-02,0.240,
2009-03,0.210,
2009-04,0.198,
2009-05,0.159,
2009-06,0.220,
2009-07,0.210,
2009-08,0.242,
2009-09,0.214,
2009-10,0.222,
2009-11,0.224,
2009-12,0.232,
2010-01,0.232,
2010-02,0.218,
2010-03,0.217,
2010-04,0.219,
2010-05,0.219,
2010-06,0.223,
2010-07,0.214,
2010-08,0.235,
2010-09,0.238,
2010-10,0.249,
2010-11,0.269,
2010-12,0.255,
2011-01,0.240,
2011-02,0.253,
2011-03,0.246,
2011-04,0.237,
2011-05,0.239,
2011-06,0.235,
2011-07,0.196,
2011-08,0.239,
2011-09,0.227,
2011-10,0.259,
2011-11,0.251,
2011-12,0.262,
2012-01,0.251,
2012-02,0.246,
2012-03,0.244,
2012-04,0.223,
2012-05,0.231,
2012-06,0.241,
2012-07,0.245,
2012-08,0.245,
2012-09,0.237,
2012-10,0.248,
2012-11,0.260,
2012-12,0.266,
2013-01,0.269,
2013-02,0.268,
2013-03,0.267,
2013-04,0.280,
2013-05,0.174,
2013-06,0.165,
2013-07,0.175,
2013-08,0.195,
2013-09,0.178,
2013-10,0.187,
2013-11,0.192,
2013-12,0.154,
2014-01,0.156,
2014-02,0.169,
2014-03,0.171,
2014-04,0.186,
2014-05,0.185,
2014-06,0.175,
2014-07,0.167,
2014-08,0.172,
2014-09,0.142,
2014-10,0.133,
2014-11,0.138,
2014-12,0.115,
