"",BBFB1.Q.N.DE.O1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.O1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Oceania and Polar Regions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:28,
1991-01,97.830,
1991-04,115.326,
1991-07,131.870,
1991-10,104.632,
1992-01,97.480,
1992-04,114.554,
1992-07,114.450,
1992-10,100.031,
1993-01,94.490,
1993-04,103.244,
1993-07,108.147,
1993-10,111.160,
1994-01,82.250,
1994-04,103.752,
1994-07,99.331,
1994-10,102.330,
1995-01,86.570,
1995-04,92.239,
1995-07,84.287,
1995-10,86.854,
1996-01,85.601,
1996-04,120.310,
1996-07,120.365,
1996-10,128.505,
1997-01,116.588,
1997-04,140.206,
1997-07,138.454,
1997-10,140.348,
1998-01,122.428,
1998-04,179.402,
1998-07,150.226,
1998-10,161.541,
1999-01,119.862,
1999-04,153.663,
1999-07,166.673,
1999-10,165.436,
2000-01,141.621,
2000-04,181.894,
2000-07,171.526,
2000-10,182.145,
2001-01,149.911,
2001-04,190.837,
2001-07,172.562,
2001-10,178.906,
2002-01,162.945,
2002-04,177.757,
2002-07,191.290,
2002-10,217.508,
2003-01,153.344,
2003-04,192.478,
2003-07,190.081,
2003-10,203.886,
2004-01,222.525,
2004-04,219.035,
2004-07,202.678,
2004-10,200.435,
2005-01,214.688,
2005-04,233.595,
2005-07,237.901,
2005-10,237.382,
2006-01,207.050,
2006-04,257.163,
2006-07,289.170,
2006-10,321.092,
2007-01,298.540,
2007-04,366.774,
2007-07,397.446,
2007-10,386.440,
2008-01,427.912,
2008-04,509.631,
2008-07,420.826,
2008-10,397.776,
2009-01,402.379,
2009-04,427.627,
2009-07,462.109,
2009-10,506.867,
2010-01,441.211,
2010-04,559.438,
2010-07,562.646,
2010-10,590.011,
2011-01,515.471,
2011-04,585.306,
2011-07,595.726,
2011-10,623.612,
2012-01,541.015,
2012-04,595.428,
2012-07,638.989,
2012-10,558.214,
2013-01,575.887,
2013-04,591.954,
2013-07,649.663,
2013-10,576.157,
2014-01,536.634,Provisional value
2014-04,580.726,Provisional value
2014-07,622.336,Provisional value
