"",BBK01.OEBB08K,BBK01.OEBB08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:10,
2002-01,11.604,
2002-04,11.662,
2002-07,11.668,
2002-10,11.787,
2003-01,11.590,
2003-04,11.614,
2003-07,12.160,
2003-10,11.778,
2004-01,12.683,
2004-04,12.405,
2004-07,12.387,
2004-10,12.590,
2005-01,12.329,
2005-04,12.385,
2005-07,12.852,
2005-10,13.018,
2006-01,13.133,
2006-04,13.068,
2006-07,13.009,
2006-10,13.035,
2007-01,13.023,
2007-04,13.014,
2007-07,13.205,
2007-10,13.416,
2008-01,13.526,
2008-04,14.104,
2008-07,14.517,
2008-10,14.993,
2009-01,14.918,
2009-04,18.397,
2009-07,18.639,
2009-10,18.875,
2010-01,18.891,
2010-04,19.450,
2010-07,18.737,
2010-10,19.646,
2011-01,19.242,
2011-04,19.228,
2011-07,19.855,
2011-10,20.452,
2012-01,20.464,
2012-04,24.400,
2012-07,24.046,
2012-10,24.895,
2013-01,24.802,
2013-04,23.960,
2013-07,24.083,
2013-10,23.718,
2014-01,23.607,
2014-04,23.848,
2014-07,24.691,
