"",BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.KR.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"","Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Korea, Republic of",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:03,
1991-01,0.001,
1991-04,0.435,
1991-07,-0.076,
1991-10,-0.144,
1992-01,0.011,
1992-04,-,Nothing exists
1992-07,-0.030,
1992-10,-0.016,
1993-01,-0.012,
1993-04,0.632,
1993-07,0.120,
1993-10,-0.077,
1994-01,-0.025,
1994-04,-0.371,
1994-07,-0.463,
1994-10,-0.350,
1995-01,0.005,
1995-04,0.196,
1995-07,-4.960,
1995-10,-2.975,
1996-01,10.828,
1996-04,-8.787,
1996-07,-5.884,
1996-10,4.335,
1997-01,-1.020,
1997-04,49.743,
1997-07,18.874,
1997-10,11.871,
1998-01,-24.807,
1998-04,-7.537,
1998-07,0.400,
1998-10,-3.030,
1999-01,-7.516,
1999-04,-16.977,
1999-07,-36.073,
1999-10,-39.578,
2000-01,-15.712,
2000-04,1.575,
2000-07,-40.572,
2000-10,-30.470,
2001-01,-15.860,
2001-04,-2.289,
2001-07,-9.864,
2001-10,-1.766,
2002-01,5.554,
2002-04,-7.267,
2002-07,2.060,
2002-10,-6.123,
2003-01,22.651,
2003-04,-1.174,
2003-07,11.533,
2003-10,2.646,
2004-01,5.704,
2004-04,-10.158,
2004-07,-0.509,
2004-10,4.320,
2005-01,-7.798,
2005-04,23.208,
2005-07,14.414,
2005-10,-4.795,
2006-01,22.662,
2006-04,-153.516,
2006-07,-51.874,
2006-10,96.596,
2007-01,63.063,
2007-04,63.118,
2007-07,69.436,
2007-10,61.621,
2008-01,-4.768,
2008-04,-5.990,
2008-07,13.978,
2008-10,0.996,
2009-01,18.909,
2009-04,-24.693,
2009-07,30.179,
2009-10,16.070,
2010-01,0.655,
2010-04,3.801,
2010-07,46.133,
2010-10,1.465,
2011-01,4.567,
2011-04,-4.096,
2011-07,-10.714,
2011-10,6.379,
2012-01,20.413,
2012-04,-7.016,
2012-07,5.096,
2012-10,-9.797,
2013-01,4.720,
2013-04,-13.192,
2013-07,75.747,
2013-10,29.117,
2014-01,18.903,Provisional value
2014-04,1.254,Provisional value
2014-07,253.877,Provisional value
2014-10,63.323,Provisional value
