"",BBK01.OEHJ09G,BBK01.OEHJ09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:03,
2002-01,0.061,
2002-04,0.063,
2002-07,0.059,
2002-10,0.057,
2003-01,0.050,
2003-04,0.061,
2003-07,0.055,
2003-10,0.043,
2004-01,0.039,
2004-04,0.040,
2004-07,0.036,
2004-10,0.062,
2005-01,0.058,
2005-04,0.036,
2005-07,0.053,
2005-10,0.045,
2006-01,0.070,
2006-04,0.075,
2006-07,0.056,
2006-10,0.063,
2007-01,0.060,
2007-04,0.058,
2007-07,0.053,
2007-10,0.069,
2008-01,0.068,
2008-04,0.066,
2008-07,0.058,
2008-10,0.055,
2009-01,0.051,
2009-04,0.047,
2009-07,0.059,
2009-10,0.065,
2010-01,0.068,
2010-04,0.074,
2010-07,0.074,
2010-10,0.077,
2011-01,0.092,
2011-04,0.085,
2011-07,0.083,
2011-10,0.058,
2012-01,0.075,
2012-04,0.081,
2012-07,0.089,
2012-10,0.095,
2013-01,0.093,
2013-04,0.096,
2013-07,0.106,
2013-10,0.111,
2014-01,0.115,
2014-04,0.091,
2014-07,0.089,
