"",BBK01.OEBI05P,BBK01.OEBI05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:41,
2002-01,0.053,
2002-04,0.040,
2002-07,0.050,
2002-10,0.038,
2003-01,0.039,
2003-04,0.033,
2003-07,0.061,
2003-10,0.054,
2004-01,0.052,
2004-04,0.050,
2004-07,0.054,
2004-10,0.019,
2005-01,0.061,
2005-04,0.055,
2005-07,0.069,
2005-10,0.069,
2006-01,0.077,
2006-04,0.089,
2006-07,0.089,
2006-10,0.115,
2007-01,0.125,
2007-04,0.126,
2007-07,0.136,
2007-10,0.143,
2008-01,0.135,
2008-04,0.135,
2008-07,0.129,
2008-10,0.138,
2009-01,0.146,
2009-04,0.160,
2009-07,0.162,
2009-10,0.163,
2010-01,0.166,
2010-04,0.168,
2010-07,0.174,
2010-10,0.176,
2011-01,0.189,
2011-04,0.174,
2011-07,0.157,
2011-10,0.158,
2012-01,0.164,
2012-04,0.163,
2012-07,0.154,
2012-10,0.150,
2013-01,0.151,
2013-04,0.150,
2013-07,0.144,
2013-10,0.141,
2014-01,0.137,
2014-04,0.165,
2014-07,0.160,
