"",BBK01.OEHM01M,BBK01.OEHM01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:25,
2002-01,1.099,
2002-04,1.044,
2002-07,0.970,
2002-10,1.147,
2003-01,0.973,
2003-04,0.924,
2003-07,0.829,
2003-10,0.990,
2004-01,0.806,
2004-04,0.875,
2004-07,0.807,
2004-10,0.994,
2005-01,0.926,
2005-04,0.924,
2005-07,0.945,
2005-10,1.013,
2006-01,0.872,
2006-04,0.921,
2006-07,0.973,
2006-10,1.062,
2007-01,0.972,
2007-04,1.106,
2007-07,1.147,
2007-10,1.273,
2008-01,1.119,
2008-04,1.147,
2008-07,1.087,
2008-10,1.329,
2009-01,1.285,
2009-04,1.295,
2009-07,1.119,
2009-10,1.204,
2010-01,1.082,
2010-04,1.085,
2010-07,1.099,
2010-10,1.206,
2011-01,1.055,
2011-04,1.230,
2011-07,1.219,
2011-10,1.222,
2012-01,1.221,
2012-04,1.351,
2012-07,1.505,
2012-10,1.580,
2013-01,1.367,
2013-04,1.487,
2013-07,1.356,
2013-10,1.494,
2014-01,1.336,
2014-04,1.358,
2014-07,1.272,
