"",BBK01.OEAN05O,BBK01.OEAN05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:06,
2002-01,5.240,
2002-04,5.088,
2002-07,5.001,
2002-10,5.193,
2003-01,5.167,
2003-04,5.168,
2003-07,5.102,
2003-10,5.274,
2004-01,5.074,
2004-04,5.065,
2004-07,4.991,
2004-10,5.061,
2005-01,7.254,
2005-04,7.047,
2005-07,7.163,
2005-10,7.199,
2006-01,7.076,
2006-04,6.846,
2006-07,6.574,
2006-10,6.484,
2007-01,6.181,
2007-04,5.963,
2007-07,5.722,
2007-10,5.711,
2008-01,5.454,
2008-04,5.251,
2008-07,4.989,
2008-10,5.027,
2009-01,5.112,
2009-04,5.147,
2009-07,5.241,
2009-10,5.547,
2010-01,5.620,
2010-04,5.823,
2010-07,5.911,
2010-10,6.020,
2011-01,6.055,
2011-04,6.093,
2011-07,5.992,
2011-10,6.086,
2012-01,6.121,
2012-04,6.188,
2012-07,6.326,
2012-10,6.505,
2013-01,6.794,
2013-04,6.860,
2013-07,6.955,
2013-10,7.088,
2014-01,7.521,
2014-04,7.671,
2014-07,7.819,
