"",BBK01.OEYM05O,BBK01.OEYM05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:58,
2002-01,0.094,
2002-04,0.094,
2002-07,0.094,
2002-10,0.096,
2003-01,0.096,
2003-04,0.065,
2003-07,0.064,
2003-10,0.065,
2004-01,0.086,
2004-04,0.073,
2004-07,0.050,
2004-10,0.050,
2005-01,0.034,
2005-04,0.037,
2005-07,0.037,
2005-10,0.038,
2006-01,0.039,
2006-04,0.037,
2006-07,0.038,
2006-10,0.038,
2007-01,0.034,
2007-04,0.035,
2007-07,0.032,
2007-10,0.045,
2008-01,0.049,
2008-04,0.049,
2008-07,0.046,
2008-10,0.046,
2009-01,0.045,
2009-04,0.046,
2009-07,0.063,
2009-10,0.077,
2010-01,0.077,
2010-04,0.087,
2010-07,0.088,
2010-10,0.089,
2011-01,0.088,
2011-04,0.093,
2011-07,0.094,
2011-10,0.085,
2012-01,0.084,
2012-04,0.295,
2012-07,0.284,
2012-10,0.509,
2013-01,0.478,
2013-04,0.390,
2013-07,0.364,
2013-10,0.294,
2014-01,0.293,
2014-04,0.563,
2014-07,0.555,
