"",BBK01.OEAF22L,BBK01.OEAF22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:19,
2002-01,5.494,
2002-04,5.600,
2002-07,5.630,
2002-10,5.698,
2003-01,6.167,
2003-04,6.188,
2003-07,6.166,
2003-10,6.206,
2004-01,6.231,
2004-04,6.417,
2004-07,6.585,
2004-10,6.602,
2005-01,6.516,
2005-04,6.580,
2005-07,6.594,
2005-10,6.359,
2006-01,6.059,
2006-04,6.455,
2006-07,6.469,
2006-10,6.400,
2007-01,6.264,
2007-04,6.305,
2007-07,6.364,
2007-10,6.309,
2008-01,6.304,
2008-04,6.484,
2008-07,6.390,
2008-10,6.091,
2009-01,7.514,
2009-04,7.385,
2009-07,7.502,
2009-10,8.288,
2010-01,8.346,
2010-04,8.566,
2010-07,8.250,
2010-10,8.333,
2011-01,7.943,
2011-04,7.689,
2011-07,8.105,
2011-10,8.200,
2012-01,7.684,
2012-04,7.910,
2012-07,8.233,
2012-10,8.228,
2013-01,8.195,
2013-04,8.255,
2013-07,8.422,
2013-10,8.380,
2014-01,8.283,
2014-04,8.125,
2014-07,8.122,
