"",BBK01.OEAI05T,BBK01.OEAI05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:35,
2002-01,0.292,
2002-04,0.334,
2002-07,0.343,
2002-10,0.375,
2003-01,0.373,
2003-04,0.364,
2003-07,0.362,
2003-10,0.221,
2004-01,0.376,
2004-04,0.398,
2004-07,0.231,
2004-10,0.193,
2005-01,0.262,
2005-04,0.254,
2005-07,0.262,
2005-10,0.265,
2006-01,0.272,
2006-04,0.300,
2006-07,0.319,
2006-10,0.367,
2007-01,0.413,
2007-04,0.389,
2007-07,0.391,
2007-10,0.439,
2008-01,0.437,
2008-04,0.444,
2008-07,0.449,
2008-10,0.423,
2009-01,0.463,
2009-04,0.348,
2009-07,0.383,
2009-10,0.374,
2010-01,0.383,
2010-04,0.393,
2010-07,0.404,
2010-10,0.389,
2011-01,0.408,
2011-04,0.401,
2011-07,0.389,
2011-10,0.415,
2012-01,0.441,
2012-04,0.437,
2012-07,0.419,
2012-10,0.444,
2013-01,0.350,
2013-04,0.351,
2013-07,0.376,
2013-10,0.365,
2014-01,0.404,
2014-04,0.476,
2014-07,0.470,
