"",BBK01.OEHK01G,BBK01.OEHK01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:23,
2002-01,3.716,
2002-04,3.726,
2002-07,3.668,
2002-10,3.760,
2003-01,3.734,
2003-04,3.725,
2003-07,3.818,
2003-10,3.797,
2004-01,3.749,
2004-04,3.700,
2004-07,3.690,
2004-10,3.728,
2005-01,3.663,
2005-04,3.733,
2005-07,3.921,
2005-10,4.075,
2006-01,4.034,
2006-04,4.008,
2006-07,4.066,
2006-10,4.295,
2007-01,4.198,
2007-04,4.246,
2007-07,4.472,
2007-10,4.823,
2008-01,4.697,
2008-04,4.752,
2008-07,4.844,
2008-10,5.320,
2009-01,5.127,
2009-04,5.135,
2009-07,5.195,
2009-10,5.364,
2010-01,5.306,
2010-04,5.373,
2010-07,5.453,
2010-10,5.664,
2011-01,5.559,
2011-04,5.558,
2011-07,5.725,
2011-10,6.047,
2012-01,6.048,
2012-04,5.967,
2012-07,6.087,
2012-10,6.235,
2013-01,6.106,
2013-04,6.272,
2013-07,6.585,
2013-10,6.873,
2014-01,6.755,
2014-04,6.851,
2014-07,7.019,
