"",BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / General government / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:05,
1991-01,-1684.054,
1991-02,-3671.682,
1991-03,-4839.503,
1991-04,-1508.111,
1991-05,-1336.800,
1991-06,-1196.215,
1991-07,-1485.149,
1991-08,-1701.127,
1991-09,-1399.696,
1991-10,-1681.778,
1991-11,-1436.724,
1991-12,-2217.343,
1992-01,-1723.628,
1992-02,-2280.944,
1992-03,-1632.906,
1992-04,-1668.825,
1992-05,-1205.574,
1992-06,-1364.822,
1992-07,-1803.256,
1992-08,-1591.672,
1992-09,-1379.223,
1992-10,-1743.581,
1992-11,-1013.396,
1992-12,-2107.503,
1993-01,-1674.123,
1993-02,-1720.680,
1993-03,-1458.963,
1993-04,-1826.623,
1993-05,-1515.762,
1993-06,-1624.542,
1993-07,-1875.344,
1993-08,-1922.722,
1993-09,-1579.583,
1993-10,-1887.971,
1993-11,-1468.766,
1993-12,-3280.210,
1994-01,-2649.935,
1994-02,-2595.110,
1994-03,-731.795,
1994-04,-1842.853,
1994-05,-1641.019,
1994-06,-1694.689,
1994-07,-2315.576,
1994-08,-1862.206,
1994-09,-1853.976,
1994-10,-1780.932,
1994-11,-1765.977,
1994-12,-2913.108,
1995-01,-2236.370,
1995-02,-2303.403,
1995-03,-919.352,
1995-04,-1933.266,
1995-05,-1829.179,
1995-06,-1035.606,
1995-07,-1720.897,
1995-08,-1755.027,
1995-09,-1536.166,
1995-10,-1979.845,
1995-11,-1516.447,
1995-12,-2900.534,
1996-01,-2879.523,
1996-02,-1621.398,
1996-03,-1555.335,
1996-04,-1903.318,
1996-05,-1777.826,
1996-06,-1768.490,
1996-07,-1743.026,
1996-08,-2187.152,
1996-09,317.529,
1996-10,-1686.268,
1996-11,-1656.973,
1996-12,-1673.958,
1997-01,-3886.287,
1997-02,-2035.188,
1997-03,-1253.485,
1997-04,-1357.689,
1997-05,-1220.225,
1997-06,-1438.855,
1997-07,-1816.954,
1997-08,-1837.517,
1997-09,-1804.208,
1997-10,-1993.351,
1997-11,-1808.470,
1997-12,-204.773,
1998-01,-4854.957,
1998-02,-2393.405,
1998-03,-1446.190,
1998-04,-1249.521,
1998-05,-821.826,
1998-06,-453.124,
1998-07,-1120.499,
1998-08,-2069.719,
1998-09,-1640.032,
1998-10,-1900.638,
1998-11,-2159.757,
1998-12,-938.445,
1999-01,-3628.664,
1999-02,-1864.528,
1999-03,-644.196,
1999-04,-1182.849,
1999-05,-950.118,
1999-06,-897.676,
1999-07,-1600.584,
1999-08,-1909.028,
1999-09,-1723.999,
1999-10,-1729.010,
1999-11,-1855.397,
1999-12,-1125.862,
2000-01,-3886.840,
2000-02,-1409.474,
2000-03,-955.744,
2000-04,-1819.958,
2000-05,-1146.687,
2000-06,-1363.712,
2000-07,-2121.520,
2000-08,-1757.461,
2000-09,-656.900,
2000-10,-2063.074,
2000-11,-1868.114,
2000-12,-1772.280,
2001-01,-2829.407,
2001-02,-1335.913,
2001-03,-1853.668,
2001-04,-1168.550,
2001-05,-1503.043,
2001-06,-1856.995,
2001-07,-1823.083,
2001-08,-537.000,
2001-09,-1305.670,
2001-10,-1904.296,
2001-11,-1836.593,
2001-12,-1031.787,
2002-01,-2012.448,
2002-02,-2451.375,
2002-03,-1864.791,
2002-04,-1805.118,
2002-05,-1355.029,
2002-06,-1330.499,
2002-07,-1124.582,
2002-08,-695.152,
2002-09,-1413.344,
2002-10,-1803.510,
2002-11,-1816.749,
2002-12,-469.254,
2003-01,-3166.904,
2003-02,-2037.130,
2003-03,-1223.907,
2003-04,-1726.137,
2003-05,-1372.241,
2003-06,-1702.735,
2003-07,-1893.072,
2003-08,-2189.785,
2003-09,-1651.552,
2003-10,-864.619,
2003-11,-2130.549,
2003-12,-1509.635,
2004-01,-3172.117,
2004-02,-2152.940,
2004-03,-1545.768,
2004-04,-541.286,
2004-05,-1322.280,
2004-06,-1670.664,
2004-07,-1978.615,
2004-08,-1733.997,
2004-09,-1607.347,
2004-10,-1490.487,
2004-11,-1337.858,
2004-12,-889.838,
2005-01,-5270.844,
2005-02,-1697.399,
2005-03,-1344.265,
2005-04,-483.143,
2005-05,-598.164,
2005-06,-1600.637,
2005-07,-1458.742,
2005-08,-1671.332,
2005-09,-1738.022,
2005-10,-1177.394,
2005-11,-1821.728,
2005-12,-1195.615,
2006-01,-1409.413,
2006-02,-4554.206,
2006-03,-1261.383,
2006-04,-1192.862,
2006-05,335.076,
2006-06,-586.596,
2006-07,-1994.356,
2006-08,-1694.913,
2006-09,-1798.824,
2006-10,-2225.790,
2006-11,-1583.829,
2006-12,-1769.851,
2007-01,-2109.666,
2007-02,-5161.233,
2007-03,-1184.009,
2007-04,-342.541,
2007-05,1931.622,
2007-06,-516.361,
2007-07,-1640.905,
2007-08,-1581.821,
2007-09,-1525.437,
2007-10,-1866.382,
2007-11,-1994.458,
2007-12,-2379.363,
2008-01,-1933.390,
2008-02,-3761.150,
2008-03,-1538.145,
2008-04,-244.515,
2008-05,1164.030,
2008-06,-803.174,
2008-07,-1244.114,
2008-08,-1351.122,
2008-09,-1258.604,
2008-10,-2476.138,
2008-11,-2255.419,
2008-12,-2455.983,
2009-01,-2132.256,
2009-02,-3039.718,
2009-03,-1678.548,
2009-04,-412.283,
2009-05,740.353,
2009-06,-1343.366,
2009-07,-1046.764,
2009-08,-2126.042,
2009-09,-1347.072,
2009-10,-3786.139,
2009-11,-2370.152,
2009-12,-2379.639,
2010-01,-3204.756,
2010-02,-5587.173,
2010-03,-1292.957,
2010-04,-497.277,
2010-05,94.035,
2010-06,-874.238,
