"",BBK01.OEAH22R,BBK01.OEAH22R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:40,
2002-01,1.225,
2002-04,1.269,
2002-07,1.282,
2002-10,1.308,
2003-01,1.276,
2003-04,1.257,
2003-07,1.212,
2003-10,1.197,
2004-01,1.188,
2004-04,1.179,
2004-07,1.176,
2004-10,1.167,
2005-01,1.166,
2005-04,1.150,
2005-07,1.129,
2005-10,1.129,
2006-01,1.134,
2006-04,1.152,
2006-07,1.173,
2006-10,1.239,
2007-01,1.282,
2007-04,1.314,
2007-07,1.335,
2007-10,1.363,
2008-01,1.331,
2008-04,1.329,
2008-07,1.342,
2008-10,1.379,
2009-01,1.307,
2009-04,1.177,
2009-07,1.060,
2009-10,0.996,
2010-01,0.976,
2010-04,0.975,
2010-07,0.976,
2010-10,0.950,
2011-01,0.954,
2011-04,0.994,
2011-07,0.998,
2011-10,1.034,
2012-01,1.017,
2012-04,0.994,
2012-07,0.946,
2012-10,0.889,
2013-01,0.838,
2013-04,0.831,
2013-07,0.830,
2013-10,0.837,
2014-01,0.840,
2014-04,0.844,
2014-07,1.040,
