"",BBK01.OEAE36U,BBK01.OEAE36U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:31,
2002-01,0.448,
2002-04,0.468,
2002-07,0.470,
2002-10,0.465,
2003-01,0.455,
2003-04,0.458,
2003-07,0.461,
2003-10,0.467,
2004-01,0.442,
2004-04,0.365,
2004-07,0.365,
2004-10,0.380,
2005-01,0.378,
2005-04,0.379,
2005-07,0.380,
2005-10,0.389,
2006-01,0.377,
2006-04,0.377,
2006-07,0.380,
2006-10,0.384,
2007-01,0.408,
2007-04,0.412,
2007-07,0.404,
2007-10,0.480,
2008-01,0.460,
2008-04,0.464,
2008-07,0.480,
2008-10,0.411,
2009-01,0.380,
2009-04,0.391,
2009-07,0.423,
2009-10,0.398,
2010-01,0.439,
2010-04,0.425,
2010-07,0.426,
2010-10,0.434,
2011-01,0.407,
2011-04,0.418,
2011-07,0.405,
2011-10,0.402,
2012-01,0.404,
2012-04,0.405,
2012-07,0.421,
2012-10,0.439,
2013-01,0.420,
2013-04,0.390,
2013-07,0.403,
2013-10,0.405,
2014-01,0.423,
2014-04,0.396,
2014-07,0.393,
