"",BBK01.OEHB01K,BBK01.OEHB01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:36,
2002-01,23.966,
2002-04,24.270,
2002-07,24.340,
2002-10,24.795,
2003-01,22.945,
2003-04,23.009,
2003-07,22.953,
2003-10,22.859,
2004-01,22.756,
2004-04,22.869,
2004-07,22.832,
2004-10,22.861,
2005-01,22.747,
2005-04,22.719,
2005-07,22.754,
2005-10,22.783,
2006-01,22.656,
2006-04,22.711,
2006-07,22.576,
2006-10,22.437,
2007-01,21.951,
2007-04,22.013,
2007-07,22.379,
2007-10,21.992,
2008-01,22.193,
2008-04,22.455,
2008-07,22.828,
2008-10,23.244,
2009-01,23.557,
2009-04,24.269,
2009-07,25.426,
2009-10,25.909,
2010-01,26.260,
2010-04,26.757,
2010-07,27.355,
2010-10,28.039,
2011-01,28.583,
2011-04,29.022,
2011-07,29.394,
2011-10,29.624,
2012-01,29.797,
2012-04,30.617,
2012-07,31.001,
2012-10,31.399,
2013-01,31.448,
2013-04,32.234,
2013-07,31.730,
2013-10,31.877,
2014-01,31.445,
2014-04,31.663,
2014-07,31.264,
