"",BBSF2.M.1.S.I0002.GEF01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.GEF01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:39,
2004-01,-,Nothing exists
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,-,Nothing exists
2004-05,-,Nothing exists
2004-06,12,
2004-07,11,
2004-08,11,
2004-09,11,
2004-10,12,
2004-11,12,
2004-12,20,
2005-01,25,
2005-02,26,
2005-03,63,
2005-04,85,
2005-05,145,
2005-06,147,
2005-07,419,
2005-08,596,
2005-09,611,
2005-10,622,
2005-11,693,
2005-12,728,
2006-01,1054,
2006-02,1065,
2006-03,1584,
2006-04,1780,
2006-05,1971,
2006-06,1972,
2006-07,2005,
2006-08,1920,
2006-09,2444,
2006-10,2257,
2006-11,2265,
2006-12,1693,
2007-01,2752,
2007-02,3392,
2007-03,3070,
2007-04,3944,
2007-05,4060,
2007-06,4815,
2007-07,5356,
2007-08,5417,
2007-09,5451,
2007-10,6705,
2007-11,6459,
2007-12,6274,
2008-01,5826,
2008-02,5907,
2008-03,5804,
2008-04,5827,
2008-05,5841,
2008-06,5656,
2008-07,5662,
2008-08,5715,
2008-09,5378,
2008-10,5377,
2008-11,6663,
2008-12,6457,
2009-01,6517,
2009-02,7571,
2009-03,8243,
2009-04,8849,
2009-05,16303,
2009-06,16492,
2009-07,17318,
2009-08,17506,
2009-09,19581,
2009-10,21120,
2009-11,20587,
2009-12,22261,
2010-01,22356,
2010-02,22998,
2010-03,23705,
2010-04,24438,
2010-05,24311,
2010-06,24260,
2010-07,25683,
2010-08,26170,
2010-09,27273,
2010-10,27677,
2010-11,27886,
2010-12,28759,
2011-01,28710,
2011-02,29078,
2011-03,29137,
2011-04,29948,
2011-05,30347,
2011-06,30285,
2011-07,30639,
2011-08,29707,
2011-09,29937,
2011-10,33471,
2011-11,35632,
2011-12,37014,
2012-01,38425,
2012-02,39306,
2012-03,39586,
2012-04,40213,
2012-05,39996,
2012-06,44359,
2012-07,46052,
2012-08,47171,
2012-09,48150,
2012-10,48055,
2012-11,49022,
2012-12,49840,
2013-01,51119,
2013-02,51743,
2013-03,52377,
2013-04,52696,
2013-05,50138,
2013-06,50069,
2013-07,53612,
2013-08,53127,
2013-09,54338,
2013-10,55748,
2013-11,56998,
2013-12,56912,
2014-01,57610,
2014-02,58667,
2014-03,59029,
2014-04,60375,
2014-05,61036,
2014-06,61678,
2014-07,62155,
2014-08,62118,
2014-09,62204,
2014-10,70232,
2014-11,71592,
