"",BBMF1.M.D0.EUR.GOVT.WYWG.Y10.BID,BBMF1.M.D0.EUR.GOVT.WYWG.Y10.BID_FLAGS
"",EU (changing composition) / Weighted EU Yield with Germany / Maturity 10 years / Euro / BID,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:38:09,
1996-01,7.28,
1996-02,7.49,
1996-03,7.68,
1996-04,7.47,
1996-05,7.35,
1996-06,7.40,
1996-07,7.29,
1996-08,7.19,
1996-09,7.02,
1996-10,6.62,
1996-11,6.36,
1996-12,6.25,
1997-01,6.17,
1997-02,5.97,
1997-03,6.21,
1997-04,6.32,
1997-05,6.13,
1997-06,6.04,
1997-07,5.80,
1997-08,5.90,
1997-09,5.78,
1997-10,5.74,
1997-11,5.72,
1997-12,5.45,
1998-01,5.21,
1998-02,5.11,
1998-03,5.00,
1998-04,4.99,
1998-05,5.05,
1998-06,4.91,
1998-07,4.81,
1998-08,4.58,
1998-09,4.26,
1998-10,4.23,
1998-11,4.25,
1998-12,3.96,
1999-01,3.85,
1999-02,3.98,
1999-03,4.19,
1999-04,4.04,
1999-05,4.21,
1999-06,4.53,
1999-07,4.86,
1999-08,5.08,
1999-09,5.23,
1999-10,5.48,
1999-11,5.21,
1999-12,5.31,
2000-01,5.69,
2000-02,5.67,
2000-03,5.49,
2000-04,5.37,
2000-05,5.54,
2000-06,5.37,
2000-07,5.44,
2000-08,5.40,
2000-09,5.46,
2000-10,5.40,
2000-11,5.35,
2000-12,5.10,
2001-01,4.98,
2001-02,4.98,
2001-03,4.89,
2001-04,5.05,
2001-05,5.25,
2001-06,5.20,
2001-07,5.21,
2001-08,5.02,
2001-09,5.01,
2001-10,4.78,
2001-11,4.63,
2001-12,4.88,
2002-01,4.99,
2002-02,5.05,
2002-03,5.29,
2002-04,5.28,
2002-05,5.29,
2002-06,5.15,
2002-07,4.99,
2002-08,4.71,
2002-09,4.51,
2002-10,4.60,
2002-11,4.59,
2002-12,4.43,
2003-01,4.25,
2003-02,4.04,
2003-03,4.09,
2003-04,4.22,
2003-05,3.90,
2003-06,3.70,
2003-07,4.03,
2003-08,4.20,
2003-09,4.23,
2003-10,4.29,
2003-11,4.43,
2003-12,4.36,
2004-01,4.22,
2004-02,4.16,
2004-03,4.00,
2004-04,4.20,
2004-05,4.36,
2004-06,4.42,
2004-07,4.31,
2004-08,4.15,
2004-09,4.09,
2004-10,3.97,
2004-11,3.86,
2004-12,3.68,
2005-01,3.61,
2005-02,3.59,
2005-03,3.75,
2005-04,3.55,
2005-05,3.39,
2005-06,3.24,
2005-07,3.29,
2005-08,3.31,
2005-09,3.14,
2005-10,3.30,
2005-11,3.51,
2005-12,3.41,
2006-01,3.38,
2006-02,3.53,
2006-03,3.71,
2006-04,3.98,
2006-05,4.05,
2006-06,4.06,
2006-07,4.08,
2006-08,3.95,
2006-09,3.82,
2006-10,3.86,
2006-11,3.79,
2006-12,3.83,
2007-01,4.10,
2007-02,4.13,
2007-03,4.03,
2007-04,4.23,
2007-05,4.35,
2007-06,4.64,
2007-07,4.60,
2007-08,4.41,
2007-09,4.36,
2007-10,4.40,
2007-11,4.25,
2007-12,4.39,
2008-01,4.20,
2008-02,4.13,
2008-03,4.07,
2008-04,4.30,
2008-05,4.43,
2008-06,4.79,
2008-07,4.75,
2008-08,4.48,
2008-09,4.44,
2008-10,4.31,
2008-11,4.06,
2008-12,3.70,
2009-01,3.83,
2009-02,3.93,
2009-03,3.85,
2009-04,3.85,
2009-05,3.93,
2009-06,4.10,
2009-07,3.89,
2009-08,3.73,
2009-09,3.70,
2009-10,3.67,
2009-11,3.67,
2009-12,3.65,
2010-01,3.73,
2010-02,3.70,
2010-03,3.61,
2010-04,3.64,
2010-05,3.50,
2010-06,3.55,
2010-07,3.53,
2010-08,3.27,
2010-09,3.32,
2010-10,3.30,
2010-11,3.67,
2010-12,4.09,
2011-01,4.15,
2011-02,4.25,
2011-03,4.31,
2011-04,4.43,
2011-05,4.34,
2011-06,4.36,
2011-07,4.49,
2011-08,4.01,
2011-09,3.95,
2011-10,4.20,
2011-11,4.69,
2011-12,4.66,
2012-01,4.51,
2012-02,4.23,
2012-03,3.93,Break
2012-04,3.96,
2012-05,3.95,
2012-06,4.00,
2012-07,3.86,
2012-08,3.74,
2012-09,3.53,
2012-10,3.37,
2012-11,3.26,
2012-12,3.00,
2013-01,2.99,
2013-02,3.10,
2013-03,2.95,
2013-04,2.69,
2013-05,2.58,
2013-06,2.95,
2013-07,2.98,
2013-08,3.02,
2013-09,3.12,
2013-10,2.93,
2013-11,2.80,
2013-12,2.93,
2014-01,2.80,
2014-02,2.61,
2014-03,2.46,
2014-04,2.31,
2014-05,2.17,
2014-06,2.05,
2014-07,1.93,
2014-08,1.74,
2014-09,1.64,
2014-10,1.59,
2014-11,1.50,
2014-12,1.30,
