"",BBK01.CEFB09,BBK01.CEFB09_FLAGS
"",long-term debt securities  debtor: Total                              creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:16,
1999-01,286.9,
1999-04,295.7,
1999-07,296.7,
1999-10,304.0,
2000-01,316.2,
2000-04,313.8,
2000-07,319.5,
2000-10,319.5,
2001-01,333.0,
2001-04,333.8,
2001-07,340.2,
2001-10,346.6,
2002-01,351.9,
2002-04,355.3,
2002-07,374.6,
2002-10,383.7,
2003-01,401.6,
2003-04,422.2,
2003-07,427.9,
2003-10,421.6,
2004-01,431.0,
2004-04,427.4,
2004-07,436.2,
2004-10,436.4,
2005-01,443.2,
2005-04,461.5,
2005-07,471.4,
2005-10,466.4,
2006-01,456.3,
2006-04,460.3,
2006-07,480.4,
2006-10,470.7,
2007-01,476.5,
2007-04,465.4,
2007-07,469.7,
2007-10,466.7,
2008-01,461.6,
2008-04,452.5,
2008-07,453.9,
2008-10,458.6,
2009-01,474.9,
2009-04,496.8,
2009-07,533.0,
2009-10,542.8,
2010-01,568.6,
2010-04,573.8,
2010-07,593.5,
2010-10,582.7,
2011-01,579.5,
2011-04,580.2,
2011-07,587.8,
2011-10,593.9,
2012-01,621.3,
2012-04,634.7,
2012-07,662.2,
2012-10,682.2,
2013-01,694.9,
2013-04,687.9,
2013-07,699.7,
2013-10,705.3,
2014-01,736.4,
2014-04,761.8,
2014-07,790.5,
