"",BBK01.OEAB18V,BBK01.OEAB18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:06,
2002-01,0.884,
2002-04,1.029,
2002-07,1.055,
2002-10,1.067,
2003-01,0.973,
2003-04,0.965,
2003-07,1.003,
2003-10,0.945,
2004-01,0.888,
2004-04,0.883,
2004-07,0.883,
2004-10,0.847,
2005-01,0.916,
2005-04,0.885,
2005-07,0.864,
2005-10,0.863,
2006-01,0.797,
2006-04,0.763,
2006-07,0.774,
2006-10,0.752,
2007-01,0.738,
2007-04,0.726,
2007-07,0.691,
2007-10,0.671,
2008-01,0.622,
2008-04,0.600,
2008-07,0.622,
2008-10,0.634,
2009-01,0.613,
2009-04,0.616,
2009-07,0.599,
2009-10,0.584,
2010-01,0.547,
2010-04,0.749,
2010-07,0.753,
2010-10,0.550,
2011-01,0.533,
2011-04,0.551,
2011-07,0.637,
2011-10,0.584,
2012-01,0.571,
2012-04,0.582,
2012-07,0.421,
2012-10,0.413,
2013-01,0.393,
2013-04,0.393,
2013-07,0.412,
2013-10,0.397,
2014-01,0.402,
2014-04,0.400,
2014-07,0.406,
