"",BBFN1.M.DE.N.1.L.FR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.FR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1996-10,7.469,
1996-11,7.261,
1996-12,7.890,
1997-01,7.226,
1997-02,7.584,
1997-03,7.133,
1997-04,8.231,
1997-05,9.162,
1997-06,9.523,
1997-07,8.420,
1997-08,7.220,
1997-09,7.167,
1997-10,7.829,
1997-11,7.470,
1997-12,6.868,
1998-01,7.499,
1998-02,7.344,
1998-03,8.079,
1998-04,7.394,
1998-05,7.390,
1998-06,6.632,
1998-07,6.509,
1998-08,6.535,
1998-09,6.402,
1998-10,7.248,
1998-11,7.582,
1998-12,7.973,
1999-01,7.919,
1999-02,8.414,
1999-03,8.701,
1999-04,8.639,
1999-05,8.693,
1999-06,9.549,
1999-07,9.389,
1999-08,9.074,
1999-09,9.103,
1999-10,9.788,
1999-11,10.543,
1999-12,11.166,
2000-01,10.870,
2000-02,10.696,
2000-03,10.566,
2000-04,10.475,
2000-05,10.463,
2000-06,11.159,
2000-07,11.454,
2000-08,11.865,
2000-09,12.052,
2000-10,12.761,
2000-11,12.810,
2000-12,13.434,
2001-01,12.735,
2001-02,13.105,
2001-03,13.915,
2001-04,12.930,
2001-05,13.364,
2001-06,14.822,
2001-07,15.257,
2001-08,15.167,
2001-09,16.237,
2001-10,16.598,
2001-11,16.112,
2001-12,16.860,
2002-01,16.759,
2002-02,16.733,
2002-03,16.976,
2002-04,16.356,
2002-05,17.089,
2002-06,15.797,
2002-07,18.606,
2002-08,18.821,
2002-09,19.386,
2002-10,20.269,
2002-11,20.679,
2002-12,20.669,
2003-01,21.923,
2003-02,21.427,
2003-03,21.544,
2003-04,21.798,
2003-05,22.772,
2003-06,22.549,
2003-07,24.754,
2003-08,22.938,
2003-09,22.191,
2003-10,23.097,
2003-11,23.062,
2003-12,22.892,
2004-01,23.631,
2004-02,24.353,
2004-03,23.931,
2004-04,23.825,
2004-05,24.379,
2004-06,25.920,
2004-07,26.355,
2004-08,26.413,
2004-09,25.976,
2004-10,27.050,
2004-11,26.527,
2004-12,24.337,
2005-01,24.859,
2005-02,25.786,
2005-03,24.991,
2005-04,24.834,
2005-05,25.433,
2005-06,24.992,
2005-07,25.884,
2005-08,25.334,
2005-09,25.776,
2005-10,26.139,
2005-11,24.993,
2005-12,24.093,
2006-01,24.019,
2006-02,25.265,
2006-03,25.032,
2006-04,25.586,
2006-05,27.196,
2006-06,27.104,
2006-07,28.147,
2006-08,27.807,
2006-09,28.104,
2006-10,28.777,
2006-11,27.951,
2006-12,26.018,
2007-01,26.633,
2007-02,31.179,
2007-03,30.447,
2007-04,29.975,
2007-05,28.971,
2007-06,29.091,
2007-07,31.170,
2007-08,30.954,
2007-09,31.027,
2007-10,29.914,
2007-11,29.382,
2007-12,29.248,
2008-01,28.612,
2008-02,30.869,
2008-03,32.025,
2008-04,32.637,
2008-05,34.523,
2008-06,33.800,
2008-07,34.531,
2008-08,34.248,
2008-09,35.017,
2008-10,35.862,
2008-11,33.603,
2008-12,35.589,
2009-01,34.749,
2009-02,36.020,
2009-03,35.966,
2009-04,36.781,
2009-05,37.987,
2009-06,38.483,
2009-07,38.591,
2009-08,40.141,
2009-09,42.176,
2009-10,41.458,
2009-11,41.469,
2009-12,42.723,
2010-01,40.763,
2010-02,41.746,
2010-03,40.463,
2010-04,38.976,
2010-05,40.083,
2010-06,41.144,
2010-07,41.779,
2010-08,46.946,
2010-09,47.122,
2010-10,43.997,
2010-11,45.582,
2010-12,43.905,
2011-01,44.914,
2011-02,45.179,
2011-03,47.485,
2011-04,48.069,
2011-05,49.091,
2011-06,50.914,
2011-07,52.938,
2011-08,51.536,
2011-09,57.567,
2011-10,58.167,
2011-11,52.908,
2011-12,48.370,
2012-01,49.447,
2012-02,45.765,
2012-03,45.579,
2012-04,48.109,
2012-05,50.720,
2012-06,52.481,
2012-07,47.120,
2012-08,46.731,
2012-09,55.241,
2012-10,50.417,
2012-11,49.821,
2012-12,48.603,
2013-01,43.770,
2013-02,38.123,
2013-03,42.710,
2013-04,48.407,
2013-05,46.950,
2013-06,52.860,
2013-07,46.859,
2013-08,48.838,
2013-09,52.981,
2013-10,47.991,
2013-11,50.992,
2013-12,42.988,
2014-01,44.991,
2014-02,40.075,
2014-03,42.849,
2014-04,46.488,
2014-05,45.513,
2014-06,44.231,
2014-07,50.559,
2014-08,47.432,
2014-09,42.515,
2014-10,42.794,
2014-11,41.996,
2014-12,44.497,
