"",BBK01.OEAB03S,BBK01.OEAB03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:29,
2002-01,0.894,
2002-04,0.885,
2002-07,0.889,
2002-10,0.892,
2003-01,0.814,
2003-04,0.764,
2003-07,0.762,
2003-10,0.793,
2004-01,0.777,
2004-04,0.772,
2004-07,0.749,
2004-10,0.703,
2005-01,0.686,
2005-04,0.754,
2005-07,0.747,
2005-10,0.768,
2006-01,0.747,
2006-04,0.780,
2006-07,0.779,
2006-10,0.782,
2007-01,0.828,
2007-04,0.849,
2007-07,0.885,
2007-10,0.841,
2008-01,0.853,
2008-04,0.933,
2008-07,1.013,
2008-10,1.044,
2009-01,1.029,
2009-04,1.201,
2009-07,1.261,
2009-10,1.389,
2010-01,1.390,
2010-04,1.469,
2010-07,1.537,
2010-10,1.551,
2011-01,1.635,
2011-04,1.923,
2011-07,2.054,
2011-10,2.179,
2012-01,2.197,
2012-04,2.156,
2012-07,2.253,
2012-10,2.109,
2013-01,2.087,
2013-04,2.065,
2013-07,1.995,
2013-10,1.895,
2014-01,1.880,
2014-04,1.731,
2014-07,1.750,
