"",BBEX3.M.GHS.EUR.CA.AA.A01,BBEX3.M.GHS.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Ghana / EUR 1 = GHS ... (buying),
unit,GHS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:29,
2007-07,1.2654,
2007-08,1.2626,
2007-09,1.3198,
2007-10,1.3354,
2007-11,1.3934,
2007-12,1.3996,
2008-01,1.4230,
2008-02,1.4522,
2008-03,1.5230,
2008-04,1.5185,
2008-05,1.5263,
2008-06,1.5898,
2008-07,1.6322,
2008-08,1.5815,
2008-09,1.5814,
2008-10,1.4938,
2008-11,1.5069,
2008-12,1.6806,
2009-01,1.6066,
2009-02,1.6579,
2009-03,1.7927,
2009-04,1.8369,
2009-05,1.9580,
2009-06,2.0219,
2009-07,2.0439,
2009-08,2.0696,
2009-09,2.1045,
2009-10,2.1310,
2009-11,2.1436,
2009-12,2.0543,
2010-01,1.9789,
2010-02,1.9269,
2010-03,1.8961,
2010-04,1.8770,
2010-05,1.7374,
2010-06,1.7302,
2010-07,1.8580,
2010-08,1.8023,
2010-09,1.9368,
2010-10,1.9688,
2010-11,1.8714,
2010-12,1.9239,
2011-01,1.9898,
2011-02,2.0526,
2011-03,2.1300,
2011-04,2.2281,
2011-05,2.1453,
2011-06,2.1637,
2011-07,2.1333,
2011-08,2.1710,
2011-09,2.0528,
2011-10,2.1604,
2011-11,2.0614,
2011-12,2.0437,
2012-01,2.1719,
2012-02,2.2384,
2012-03,2.2896,
2012-04,2.3522,
2012-05,2.2903,
2012-06,2.3704,
2012-07,2.3417,
2012-08,2.3904,
2012-09,2.4347,
2012-10,2.4166,
2012-11,2.4339,
2012-12,2.4632,
2013-01,2.5738,
2013-02,2.5110,
2013-03,2.4766,
2013-04,2.5748,
2013-05,2.5716,
2013-06,2.5864,
2013-07,2.6423,
2013-08,2.6385,
2013-09,2.7045,
2013-10,2.7879,
2013-11,2.8292,
2013-12,2.9845,
2014-01,3.2453,
2014-02,3.4585,
2014-03,3.6837,
2014-04,3.8586,
2014-05,3.9374,
2014-06,4.0920,
2014-07,4.0564,
2014-08,4.1264,
2014-09,4.0553,
2014-10,4.0287,
2014-11,3.9924,
2014-12,3.8947,
2015-01,3.6689,
2015-02,3.8979,
"","General: With effect from 1 July 2007, a currency conversion took place at the rate of 10,000 cedi (GHC) = 1 Ghana cedi (GHS). The currency conversion did not entail any appreciation or depreciation against other currencies.",
"","Source: Bank of Ghana, Accra.",
