"",BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.MX.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Mexico,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:01,
1991-01,4.339,
1991-04,4.339,
1991-07,4.339,
1991-10,4.339,
1992-01,0.325,
1992-04,0.325,
1992-07,-1.299,
1992-10,0.325,
1993-01,-9.513,
1993-04,-9.513,
1993-07,-9.513,
1993-10,-9.590,
1994-01,-75.480,
1994-04,-77.003,
1994-07,-75.378,
1994-10,-75.378,
1995-01,10.653,
1995-04,10.653,
1995-07,10.653,
1995-10,10.653,
1996-01,52.103,
1996-04,54.123,
1996-07,54.123,
1996-10,54.123,
1997-01,28.631,
1997-04,28.631,
1997-07,28.631,
1997-10,28.631,
1998-01,12.783,
1998-04,12.783,
1998-07,12.064,
1998-10,12.783,
1999-01,114.000,
1999-04,114.000,
1999-07,111.000,
1999-10,111.000,
2000-01,157.000,
2000-04,156.000,
2000-07,156.000,
2000-10,124.237,
2001-01,-15.209,
2001-04,-68.227,
2001-07,-68.356,
2001-10,-34.427,
2002-01,23.539,
2002-04,-32.782,
2002-07,12.332,
2002-10,-5.598,
2003-01,30.090,
2003-04,10.059,
2003-07,2.337,
2003-10,-267.319,
2004-01,40.586,
2004-04,27.834,
2004-07,-5.403,
2004-10,33.568,
2005-01,45.275,
2005-04,37.486,
2005-07,-66.566,
2005-10,27.805,
2006-01,43.799,
2006-04,18.879,
2006-07,61.049,
2006-10,67.096,
2007-01,25.418,
2007-04,-10.050,
2007-07,-24.970,
2007-10,17.548,
2008-01,37.204,
2008-04,-42.349,
2008-07,-21.375,
2008-10,-8.831,
2009-01,23.771,
2009-04,2.921,
2009-07,16.476,
2009-10,40.339,
2010-01,80.883,
2010-04,40.589,
2010-07,96.269,
2010-10,56.895,
2011-01,97.868,
2011-04,39.401,
2011-07,80.426,
2011-10,87.409,
2012-01,115.351,
2012-04,58.282,
2012-07,84.543,
2012-10,107.630,
2013-01,194.594,
2013-04,-46.469,
2013-07,154.463,
2013-10,154.514,
2014-01,194.496,Provisional value
2014-04,168.334,Provisional value
2014-07,158.112,Provisional value
2014-10,145.021,Provisional value
