"",BBK01.OEAD13L,BBK01.OEAD13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:55,
2002-01,0.394,
2002-04,0.557,
2002-07,0.380,
2002-10,0.357,
2003-01,0.256,
2003-04,0.292,
2003-07,0.263,
2003-10,0.276,
2004-01,0.249,
2004-04,0.205,
2004-07,0.195,
2004-10,0.328,
2005-01,0.236,
2005-04,0.239,
2005-07,0.229,
2005-10,0.188,
2006-01,0.253,
2006-04,0.304,
2006-07,0.280,
2006-10,0.278,
2007-01,0.292,
2007-04,0.285,
2007-07,0.279,
2007-10,1.451,
2008-01,1.315,
2008-04,1.348,
2008-07,1.223,
2008-10,1.300,
2009-01,1.599,
2009-04,1.439,
2009-07,1.390,
2009-10,1.298,
2010-01,1.161,
2010-04,0.962,
2010-07,0.849,
2010-10,0.507,
2011-01,0.623,
2011-04,0.837,
2011-07,0.575,
2011-10,0.285,
2012-01,0.277,
2012-04,0.240,
2012-07,0.270,
2012-10,0.412,
2013-01,0.262,
2013-04,0.256,
2013-07,0.226,
2013-10,0.185,
2014-01,0.186,
2014-04,0.250,
2014-07,0.245,
