"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.U3.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.U3.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / EU member states not belonging to the Euro area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:52,
2009-09,70605,
2009-10,72391,
2009-11,73560,
2009-12,75505,
2010-01,76431,
2010-02,77564,
2010-03,80824,
2010-04,81986,
2010-05,80724,
2010-06,81308,
2010-07,83459,
2010-08,85569,
2010-09,88363,
2010-10,90578,
2010-11,90954,
2010-12,92661,
2011-01,91507,
2011-02,91962,
2011-03,91407,
2011-04,92315,
2011-05,94260,
2011-06,93353,
2011-07,94242,
2011-08,90815,
2011-09,89418,
2011-10,87408,
2011-11,89883,
2011-12,91707,
2012-01,94703,
2012-02,97949,
2012-03,99333,
2012-04,100988,
2012-05,100497,
2012-06,101974,
2012-07,105993,
2012-08,106073,
2012-09,105962,
2012-10,105430,
2012-11,105215,
2012-12,106658,
2013-01,103447,
2013-02,105265,
2013-03,107249,
2013-04,108436,
2013-05,108169,
2013-06,104925,
2013-07,107309,
2013-08,106690,
2013-09,107774,
2013-10,108316,
2013-11,109982,
2013-12,109424,
2014-01,108159,
2014-02,110512,
2014-03,110303,
2014-04,111078,
2014-05,113235,
2014-06,115980,
2014-07,116123,
2014-08,117736,
2014-09,119351,
2014-10,120136,
2014-11,123483,
