"",BBFB1.Q.N.DE.S3.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:33,
1991-01,100.832,
1991-04,141.170,
1991-07,174.871,
1991-10,152.559,
1992-01,132.755,
1992-04,125.864,
1992-07,153.740,
1992-10,171.171,
1993-01,132.457,
1993-04,178.538,
1993-07,173.373,
1993-10,181.896,
1994-01,146.648,
1994-04,197.089,
1994-07,183.885,
1994-10,155.894,
1995-01,145.052,
1995-04,154.627,
1995-07,173.568,
1995-10,172.023,
1996-01,136.596,
1996-04,172.943,
1996-07,196.287,
1996-10,166.105,
1997-01,174.749,
1997-04,223.962,
1997-07,249.575,
1997-10,237.519,
1998-01,209.246,
1998-04,239.196,
1998-07,271.045,
1998-10,225.274,
1999-01,204.822,
1999-04,252.912,
1999-07,283.898,
1999-10,276.544,
2000-01,250.737,
2000-04,278.402,
2000-07,311.307,
2000-10,291.739,
2001-01,255.262,
2001-04,297.524,
2001-07,295.833,
2001-10,293.432,
2002-01,310.664,
2002-04,314.118,
2002-07,392.579,
2002-10,373.406,
2003-01,356.894,
2003-04,283.317,
2003-07,373.548,
2003-10,343.206,
2004-01,311.654,
2004-04,379.252,
2004-07,409.748,
2004-10,389.995,
2005-01,443.324,
2005-04,507.647,
2005-07,596.947,
2005-10,509.784,
2006-01,465.763,
2006-04,526.477,
2006-07,588.500,
2006-10,604.270,
2007-01,524.362,
2007-04,617.448,
2007-07,689.008,
2007-10,646.714,
2008-01,650.490,
2008-04,667.488,
2008-07,804.283,
2008-10,844.005,
2009-01,774.408,
2009-04,788.419,
2009-07,759.965,
2009-10,768.303,
2010-01,691.610,
2010-04,890.496,
2010-07,872.863,
2010-10,866.013,
2011-01,743.384,
2011-04,779.479,
2011-07,809.159,
2011-10,796.221,
2012-01,754.457,
2012-04,856.908,
2012-07,948.914,
2012-10,834.777,
2013-01,748.514,
2013-04,955.062,
2013-07,1073.302,
2013-10,931.206,
2014-01,856.175,Provisional value
2014-04,1016.750,Provisional value
2014-07,1043.137,Provisional value
