"",BBK01.OEAD20S,BBK01.OEAD20S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:55,
2002-01,0.043,
2002-04,0.053,
2002-07,0.055,
2002-10,0.056,
2003-01,0.051,
2003-04,0.053,
2003-07,0.053,
2003-10,0.051,
2004-01,0.055,
2004-04,0.052,
2004-07,0.058,
2004-10,0.055,
2005-01,0.048,
2005-04,0.043,
2005-07,0.054,
2005-10,0.047,
2006-01,0.047,
2006-04,0.056,
2006-07,0.049,
2006-10,0.049,
2007-01,0.044,
2007-04,0.039,
2007-07,0.046,
2007-10,0.068,
2008-01,0.057,
2008-04,0.043,
2008-07,0.050,
2008-10,0.054,
2009-01,0.043,
2009-04,0.036,
2009-07,0.041,
2009-10,0.042,
2010-01,0.045,
2010-04,0.042,
2010-07,0.048,
2010-10,0.049,
2011-01,0.044,
2011-04,0.048,
2011-07,0.046,
2011-10,0.049,
2012-01,0.045,
2012-04,0.044,
2012-07,0.051,
2012-10,0.054,
2013-01,0.055,
2013-04,0.050,
2013-07,0.057,
2013-10,0.058,
2014-01,0.054,
2014-04,0.053,
2014-07,0.059,
