"",BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:12,
1991-01,589.517,
1991-04,763.269,
1991-07,416.474,
1991-10,-110.824,
1992-01,-948.072,
1992-04,419.428,
1992-07,45.492,
1992-10,126.755,
1993-01,-358.910,
1993-04,321.520,
1993-07,-45.232,
1993-10,254.442,
1994-01,-164.935,
1994-04,25.209,
1994-07,-55.958,
1994-10,249.449,
1995-01,-98.917,
1995-04,29.881,
1995-07,-92.660,
1995-10,-51.947,
1996-01,-217.653,
1996-04,2.008,
1996-07,10.833,
1996-10,133.012,
1997-01,118.048,
1997-04,70.578,
1997-07,-143.771,
1997-10,520.336,
1998-01,362.962,
1998-04,321.702,
1998-07,1773.639,
1998-10,611.400,
1999-01,257.487,
1999-04,657.115,
1999-07,459.125,
1999-10,1484.094,
2000-01,738.287,
2000-04,230.462,
2000-07,2276.948,
2000-10,1044.528,
2001-01,492.169,
2001-04,93.302,
2001-07,727.912,
2001-10,999.425,
2002-01,511.464,
2002-04,579.179,
2002-07,624.521,
2002-10,839.799,
2003-01,661.111,
2003-04,264.825,
2003-07,109.750,
2003-10,199.969,
2004-01,535.252,
2004-04,82.402,
2004-07,959.765,
2004-10,-234.972,
2005-01,-159.717,
2005-04,208.055,
2005-07,-117.044,
2005-10,-13.916,
2006-01,494.012,
2006-04,-195.434,
2006-07,1276.792,
2006-10,628.265,
2007-01,1259.691,
2007-04,2090.575,
2007-07,2035.719,
2007-10,394.307,
2008-01,2541.437,
2008-04,2780.599,
2008-07,1668.111,
2008-10,1083.807,
2009-01,159.736,
2009-04,620.541,
2009-07,-60.107,
2009-10,-290.708,
2010-01,837.518,
2010-04,-493.991,
2010-07,-610.599,
2010-10,2914.160,
2011-01,56.439,
2011-04,-12.611,
2011-07,987.481,
2011-10,-2440.480,
2012-01,-169.588,
2012-04,-1197.935,
2012-07,-1458.721,
2012-10,-546.788,
2013-01,-171.335,
2013-04,-937.490,
2013-07,-1285.850,
2013-10,-1673.399,
2014-01,115.802,Provisional value
2014-04,-1765.810,Provisional value
2014-07,202.442,Provisional value
2014-10,24.989,Provisional value
