"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.CZ.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.CZ.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Czech Republic,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:23,
2009-09,204,
2009-10,210,
2009-11,196,
2009-12,194,
2010-01,171,
2010-02,166,
2010-03,166,
2010-04,189,
2010-05,172,
2010-06,166,
2010-07,168,
2010-08,185,
2010-09,212,
2010-10,206,
2010-11,204,
2010-12,187,
2011-01,186,
2011-02,178,
2011-03,172,
2011-04,183,
2011-05,196,
2011-06,214,
2011-07,226,
2011-08,219,
2011-09,222,
2011-10,214,
2011-11,201,
2011-12,210,
2012-01,192,
2012-02,247,
2012-03,258,
2012-04,244,
2012-05,240,
2012-06,253,
2012-07,273,
2012-08,275,
2012-09,271,
2012-10,303,
2012-11,293,
2012-12,300,
2013-01,303,
2013-02,304,
2013-03,306,
2013-04,354,
2013-05,373,
2013-06,336,
2013-07,324,
2013-08,310,
2013-09,300,
2013-10,276,
2013-11,268,
2013-12,264,
2014-01,258,
2014-02,262,
2014-03,256,
2014-04,230,
2014-05,207,
2014-06,201,
2014-07,198,
2014-08,196,
2014-09,194,
2014-10,206,
2014-11,196,
