"",BBDA1.M.DE.N.EX.S.A.U2.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.U2.A.V.ABA.A_FLAGS
"","German foreign trade: exports / At current prices, flows / Aggregate / all goods / Euro area (Member States and Institutions of the Euro Area) changing composition / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:04,
1993-01,11669378,
1993-02,13922500,
1993-03,14182891,
1993-04,13317700,
1993-05,12752538,
1993-06,12730188,
1993-07,11947516,
1993-08,10824364,
1993-09,13047548,
1993-10,13267189,
1993-11,13242066,
1993-12,12483022,
1994-01,12092182,
1994-02,12962565,
1994-03,15584525,
1994-04,13745513,
1994-05,13998399,
1994-06,14803477,
1994-07,13002914,
1994-08,12564295,
1994-09,14314589,
1994-10,14622599,
1994-11,13957464,
1994-12,14440647,
1995-01,14633074,
1995-02,14702858,
1995-03,16049840,
1995-04,14232965,
1995-05,15235020,
1995-06,16350800,
1995-07,13748149,
1995-08,12880341,
1995-09,15890849,
1995-10,15895717,
1995-11,15305344,
1995-12,14427156,
1996-01,15954258,
1996-02,15195179,
1996-03,15877864,
1996-04,15999196,
1996-05,15254783,
1996-06,15322972,
1996-07,16000094,
1996-08,13240558,
1996-09,15045635,
1996-10,17426010,
1996-11,15883618,
1996-12,15567642,
1997-01,15166677,
1997-02,16256437,
1997-03,16538560,
1997-04,16199927,
1997-05,16594663,
1997-06,17865638,
1997-07,17199820,
1997-08,14318624,
1997-09,17080627,
1997-10,18272750,
1997-11,17995417,
1997-12,17251215,
1998-01,17630425,
1998-02,18352320,
1998-03,18727065,
1998-04,20039608,
1998-05,17837624,
1998-06,19751857,
1998-07,19451049,
1998-08,15003289,
1998-09,17883459,
1998-10,20239816,
1998-11,19445658,
1998-12,17105510,
1999-01,17522832,
1999-02,18993436,
1999-03,19648350,
1999-04,19618444,
1999-05,19058951,
1999-06,21303796,
1999-07,19463282,
1999-08,17785092,
1999-09,19678409,
1999-10,20573331,
1999-11,22678854,
1999-12,19837683,
2000-01,20508238,
2000-02,21611237,
2000-03,24067476,
2000-04,21840715,
2000-05,23671091,
2000-06,22601151,
2000-07,22386455,
2000-08,19819899,
2000-09,22011800,
2000-10,25669615,
2000-11,25766083,
2000-12,22256028,
2001-01,23973260,
2001-02,24374412,
2001-03,24945724,
2001-04,24605401,
2001-05,23804142,
2001-06,24140335,
2001-07,24066204,
2001-08,21546656,
2001-09,21856926,
2001-10,25060649,
2001-11,24305904,
2001-12,21066973,
2002-01,22669894,
2002-02,22869200,
2002-03,23743468,
2002-04,25079598,
2002-05,22033036,
2002-06,25457593,
2002-07,23961104,
2002-08,21243840,
2002-09,23415350,
2002-10,25505088,
2002-11,26246254,
2002-12,22696969,
2003-01,23341503,
2003-02,24113441,
2003-03,26382339,
2003-04,24511037,
2003-05,23996175,
2003-06,24486735,
2003-07,25005266,
2003-08,21035991,
2003-09,26182835,
2003-10,27003259,
2003-11,27717159,
2003-12,24848911,
2004-01,24994894,
2004-02,25525307,
2004-03,29230543,
2004-04,27283158,
2004-05,27003248,
2004-06,28300350,
2004-07,26959015,
2004-08,24410930,
2004-09,28104065,
2004-10,29595308,
2004-11,31159464,
2004-12,25845007,
2005-01,27247983,
2005-02,27459213,
2005-03,29960956,
2005-04,29652879,
2005-05,28957326,
2005-06,31171464,
2005-07,28020875,
2005-08,26180131,
2005-09,30513389,
2005-10,30835403,
2005-11,32669568,
2005-12,29078900,
2006-01,30661966,
2006-02,31026497,
2006-03,34414319,
2006-04,31139566,
2006-05,32319017,
2006-06,33138915,
2006-07,31626420,
2006-08,28384144,
2006-09,33017371,
2006-10,35746021,
2006-11,35407753,
2006-12,31070708,
2007-01,34532650,
2007-02,35048041,
2007-03,37935527,
2007-04,35509903,
2007-05,35140114,
2007-06,36229070,
2007-07,35248836,
2007-08,31132922,
2007-09,35268015,
2007-10,38769864,
2007-11,38130949,
2007-12,31913623,
2008-01,36276654,
2008-02,36474490,
2008-03,36311790,
2008-04,38803910,
2008-05,34866492,
2008-06,37655249,
2008-07,36362100,
2008-08,30405708,
2008-09,36782478,
2008-10,38105656,
2008-11,32570259,
2008-12,27916499,
2009-01,28611452,
2009-02,28023198,
2009-03,31012225,
2009-04,28133878,
2009-05,26523193,
2009-06,28764464,
2009-07,28596786,
2009-08,24393477,
2009-09,30808348,
2009-10,31606633,
2009-11,30071262,
2009-12,27965107,
2010-01,27891853,
2010-02,29963167,
2010-03,35342980,
2010-04,31063210,
2010-05,31670010,
2010-06,35192376,
2010-07,32195798,
2010-08,28285723,
2010-09,34225455,
2010-10,35031610,
2010-11,35137584,
2010-12,33063490,
2011-01,33249568,
2011-02,34602939,
2011-03,39854777,
2011-04,34549747,
2011-05,36872351,
2011-06,36596215,
2011-07,33074764,
2011-08,31456849,
2011-09,38016975,
2011-10,34744363,
2011-11,37182620,
2011-12,31643524,
2012-01,33982668,
2012-02,35238988,
2012-03,37710751,
2012-04,32916609,
2012-05,35300645,
2012-06,34956032,
2012-07,33629384,
2012-08,30269501,
2012-09,33882110,
2012-10,36730862,
2012-11,34342355,
2012-12,28705650,
2013-01,34132860,
2013-02,33668851,
2013-03,35150409,
2013-04,34196020,
2013-05,32366277,
2013-06,34755811,
2013-07,33457073,
2013-08,29116575,
2013-09,35310666,
2013-10,36837464,
2013-11,34362940,
2013-12,30237196,
2014-01,35054442,
2014-02,34853651,
2014-03,35148217,
2014-04,35001192,
2014-05,33726654,
2014-06,34840087,
2014-07,35570168,
2014-08,29249845,
2014-09,36598720,
2014-10,37591421,
2014-11,35193284,
2014-12,32066663,
