"",BBK01.OEHB16T,BBK01.OEHB16T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:25,
2002-01,1.915,
2002-04,1.923,
2002-07,1.934,
2002-10,1.946,
2003-01,1.914,
2003-04,1.920,
2003-07,1.929,
2003-10,1.930,
2004-01,1.904,
2004-04,1.905,
2004-07,1.898,
2004-10,1.904,
2005-01,1.848,
2005-04,1.832,
2005-07,1.822,
2005-10,1.808,
2006-01,1.775,
2006-04,1.754,
2006-07,1.734,
2006-10,1.698,
2007-01,1.664,
2007-04,1.645,
2007-07,1.614,
2007-10,1.611,
2008-01,1.596,
2008-04,1.577,
2008-07,1.568,
2008-10,1.558,
2009-01,1.540,
2009-04,1.551,
2009-07,1.532,
2009-10,1.542,
2010-01,1.533,
2010-04,1.531,
2010-07,1.530,
2010-10,1.535,
2011-01,1.516,
2011-04,1.514,
2011-07,1.509,
2011-10,1.510,
2012-01,1.499,
2012-04,1.520,
2012-07,1.532,
2012-10,1.534,
2013-01,1.527,
2013-04,1.525,
2013-07,1.539,
2013-10,1.545,
2014-01,1.551,
2014-04,1.561,
2014-07,1.570,
