"",BBEX3.M.PLN.EUR.BB.AC.A02,BBEX3.M.PLN.EUR.BB.AC.A02_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = PLN ... / Poland,
unit,PLN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:00:46,
1999-01,4.1047,
1999-02,4.2483,
1999-03,4.2962,
1999-04,4.2796,
1999-05,4.1805,
1999-06,4.0939,
1999-07,4.0172,
1999-08,4.1966,
1999-09,4.2908,
1999-10,4.4014,
1999-11,4.3970,
1999-12,4.2160,
2000-01,4.1603,
2000-02,4.0782,
2000-03,3.9460,
2000-04,4.0065,
2000-05,4.0731,
2000-06,4.1731,
2000-07,4.0528,
2000-08,3.9446,
2000-09,3.9174,
2000-10,3.9670,
2000-11,3.9000,
2000-12,3.8744,
2001-01,3.8591,
2001-02,3.7671,
2001-03,3.6945,
2001-04,3.5904,
2001-05,3.4842,
2001-06,3.3876,
2001-07,3.6171,
2001-08,3.8243,
2001-09,3.8468,
2001-10,3.7465,
2001-11,3.6348,
2001-12,3.5881,
2002-01,3.5922,
2002-02,3.6420,
2002-03,3.6229,
2002-04,3.5944,
2002-05,3.7126,
2002-06,3.8502,
2002-07,4.0882,
2002-08,4.0836,
2002-09,4.0703,
2002-10,4.0434,
2002-11,3.9569,
2002-12,3.9858,
2003-01,4.0704,
2003-02,4.1656,
2003-03,4.3363,
2003-04,4.2971,
2003-05,4.3343,
2003-06,4.4339,
2003-07,4.4368,
2003-08,4.3699,
2003-09,4.4635,
2003-10,4.5952,
2003-11,4.6174,
2003-12,4.6595,
2004-01,4.7128,
2004-02,4.8569,
2004-03,4.7642,
2004-04,4.7597,
2004-05,4.7209,
2004-06,4.5906,
2004-07,4.4651,
2004-08,4.4310,
2004-09,4.3748,
2004-10,4.3182,
2004-11,4.2573,
2004-12,4.1354,
2005-01,4.0794,
2005-02,3.9867,
2005-03,4.0123,
2005-04,4.1559,
2005-05,4.1749,
2005-06,4.0606,
2005-07,4.0986,
2005-08,4.0436,
2005-09,3.9160,
2005-10,3.9229,
2005-11,3.9701,
2005-12,3.8501,
2006-01,3.8201,
2006-02,3.7941,
2006-03,3.8837,
2006-04,3.9177,
2006-05,3.8954,
2006-06,4.0261,
2006-07,3.9962,
2006-08,3.9046,
2006-09,3.9649,
2006-10,3.9014,
2006-11,3.8248,
2006-12,3.8125,
2007-01,3.8795,
2007-02,3.8943,
2007-03,3.8859,
2007-04,3.8144,
2007-05,3.7819,
2007-06,3.8074,
2007-07,3.7682,
2007-08,3.8116,
2007-09,3.7891,
2007-10,3.7062,
2007-11,3.6575,
2007-12,3.6015,
2008-01,3.6092,
2008-02,3.5768,
2008-03,3.5363,
2008-04,3.4421,
2008-05,3.4038,
2008-06,3.3736,
2008-07,3.2591,
2008-08,3.2920,
2008-09,3.3747,
2008-10,3.5767,
2008-11,3.7326,
2008-12,4.0044,
2009-01,4.2300,
2009-02,4.6467,
2009-03,4.6210,
2009-04,4.4326,
2009-05,4.4103,
2009-06,4.5084,
2009-07,4.2965,
2009-08,4.1311,
2009-09,4.1584,
2009-10,4.2146,
2009-11,4.1646,
2009-12,4.1439,
2010-01,4.0703,
2010-02,4.0144,
2010-03,3.8906,
2010-04,3.8782,
2010-05,4.0567,
2010-06,4.1055,
2010-07,4.0814,
2010-08,3.9899,
2010-09,3.9548,
2010-10,3.9496,
2010-11,3.9520,
2010-12,3.9962,
2011-01,3.8896,
2011-02,3.9264,
2011-03,4.0145,
2011-04,3.9694,
2011-05,3.9404,
2011-06,3.9702,
2011-07,3.9951,
2011-08,4.1195,
2011-09,4.3379,
2011-10,4.3516,
2011-11,4.4324,
2011-12,4.4774,
2012-01,4.3760,
2012-02,4.1835,
2012-03,4.1370,
2012-04,4.1782,
2012-05,4.2937,
2012-06,4.2973,
2012-07,4.1837,
2012-08,4.0934,
2012-09,4.1345,
2012-10,4.1071,
2012-11,4.1321,
2012-12,4.0956,
2013-01,4.1424,
2013-02,4.1700,
2013-03,4.1565,
2013-04,4.1359,
2013-05,4.1799,
2013-06,4.2839,
2013-07,4.2745,
2013-08,4.2299,
2013-09,4.2371,
2013-10,4.1902,
2013-11,4.1887,
2013-12,4.1760,
2014-01,4.1799,
2014-02,4.1741,
2014-03,4.1987,
2014-04,4.1853,
2014-05,4.1800,
2014-06,4.1352,
2014-07,4.1444,
2014-08,4.1919,
2014-09,4.1899,
2014-10,4.2066,
2014-11,4.2121,
2014-12,4.2155,
2015-01,4.2783,
2015-02,4.1760,
"","General: The ECB publishes daily euro foreign exchange reference rates, which are calculated on the basis of the concertation between central banks at 14.15.",
"",Source: European Central Bank (ECB).,
"",Methodology: Averages: Bundesbank calculations based on the daily euro reference exchange rates published by the ECB.,
