"",BBK01.OEAH22M,BBK01.OEAH22M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:45,
2002-01,7.840,
2002-04,7.875,
2002-07,7.818,
2002-10,7.705,
2003-01,7.549,
2003-04,7.518,
2003-07,7.570,
2003-10,7.494,
2004-01,7.496,
2004-04,7.498,
2004-07,7.546,
2004-10,7.679,
2005-01,7.597,
2005-04,7.785,
2005-07,7.710,
2005-10,7.724,
2006-01,7.857,
2006-04,8.023,
2006-07,8.350,
2006-10,8.771,
2007-01,9.325,
2007-04,9.553,
2007-07,9.975,
2007-10,10.412,
2008-01,10.805,
2008-04,10.963,
2008-07,11.120,
2008-10,11.743,
2009-01,11.781,
2009-04,11.468,
2009-07,11.016,
2009-10,11.119,
2010-01,11.478,
2010-04,11.614,
2010-07,11.593,
2010-10,11.706,
2011-01,11.787,
2011-04,12.168,
2011-07,12.208,
2011-10,12.233,
2012-01,11.610,
2012-04,11.489,
2012-07,11.211,
2012-10,10.434,
2013-01,9.252,
2013-04,8.503,
2013-07,7.901,
2013-10,7.592,
2014-01,7.033,
2014-04,6.264,
2014-07,5.841,
