"",BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:28,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,653.014,
1992-07,478.442,
1992-10,1130.075,
1993-01,921.473,
1993-04,1288.518,
1993-07,720.547,
1993-10,2334.764,
1994-01,247.767,
1994-04,1253.145,
1994-07,202.625,
1994-10,-207.467,
1995-01,197.312,
1995-04,325.797,
1995-07,220.612,
1995-10,558.270,
1996-01,551.059,
1996-04,773.775,
1996-07,567.405,
1996-10,1189.803,
1997-01,943.843,
1997-04,287.319,
1997-07,760.898,
1997-10,17.325,
1998-01,997.367,
1998-04,485.238,
1998-07,320.560,
1998-10,-307.032,
1999-01,-110.725,
1999-04,-143.316,
1999-07,-350.616,
1999-10,-3.693,
2000-01,-471.347,
2000-04,-305.576,
2000-07,-400.237,
2000-10,-416.622,
2001-01,-1155.380,
2001-04,-391.892,
2001-07,-238.046,
2001-10,829.584,
2002-01,-860.439,
2002-04,-57.436,
2002-07,-555.818,
2002-10,-245.144,
2003-01,1481.828,
2003-04,-712.242,
2003-07,-119.170,
2003-10,19.940,
2004-01,-696.174,
2004-04,436.689,
2004-07,904.662,
2004-10,772.082,
2005-01,-99.745,
2005-04,-331.101,
2005-07,-3811.266,
2005-10,1198.121,
2006-01,607.845,
2006-04,155.442,
2006-07,-6791.852,
2006-10,3037.880,
2007-01,-323.399,
2007-04,513.210,
2007-07,2130.759,
2007-10,97.650,
2008-01,406.453,
2008-04,1683.938,
2008-07,2023.268,
2008-10,-1096.265,
2009-01,-1905.535,
2009-04,-1608.378,
2009-07,-810.849,
2009-10,-2263.111,
2010-01,-479.877,
2010-04,-573.978,
2010-07,583.283,
2010-10,-134.260,
2011-01,134.096,
2011-04,-129.833,
2011-07,-489.871,
2011-10,-71.730,
2012-01,-63.293,
2012-04,1609.419,
2012-07,-1187.809,
2012-10,1332.306,
2013-01,-1372.774,
2013-04,249.666,
2013-07,-860.958,
2013-10,-184.951,
2014-01,-1335.577,Provisional value
2014-04,-432.943,Provisional value
2014-07,-397.989,Provisional value
2014-10,-940.276,Provisional value
