"",BBK01.OUM244,BBK01.OUM244_FLAGS
"",Deposits and borrowing (excl. savings deposits and bank savings bonds) / Domestic self-employed persons / Time deposits / for more than 2 years / Mortgage banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:33:18,
1999-01,1.931,
1999-02,1.919,
1999-03,1.923,
1999-04,1.890,
1999-05,1.888,
1999-06,1.887,
1999-07,1.885,
1999-08,1.879,
1999-09,1.878,
1999-10,1.832,
1999-11,1.831,
1999-12,1.825,
2000-01,1.820,
2000-02,1.814,
2000-03,1.813,
2000-04,1.779,
2000-05,1.778,
2000-06,1.775,
2000-07,1.773,
2000-08,1.769,
2000-09,1.766,
2000-10,1.734,
2000-11,1.733,
2000-12,1.732,
2001-01,1.729,
2001-02,1.722,
2001-03,1.720,
2001-04,1.688,
2001-05,1.685,
2001-06,1.691,
2001-07,1.690,
2001-08,1.685,
2001-09,1.684,
2001-10,1.613,
2001-11,1.608,
2001-12,1.607,
2002-01,1.606,
2002-02,1.601,
2002-03,1.600,
2002-04,1.547,
2002-05,1.544,
2002-06,1.536,
2002-07,1.536,
2002-08,1.532,
2002-09,1.531,
2002-10,1.511,
2002-11,1.506,
2002-12,1.505,
2003-01,1.510,
2003-02,1.506,
2003-03,1.504,
2003-04,1.461,
2003-05,1.460,
2003-06,1.464,
2003-07,1.464,
2003-08,1.453,
2003-09,1.452,
2003-10,1.438,
2003-11,0.775,
2003-12,0.774,
2004-01,0.773,
2004-02,0.769,
2004-03,0.768,
2004-04,0.720,
2004-05,0.714,
2004-06,0.710,
2004-07,0.710,
2004-08,0.710,
2004-09,0.708,
2004-10,0.705,
2004-11,0.664,
2004-12,0.665,
2005-01,0.665,
2005-02,0.665,
2005-03,0.626,
2005-04,0.652,
2005-05,0.054,
2005-06,0.046,
2005-07,0.046,
2005-08,0.046,
2005-09,0.045,
2005-10,0.034,
2005-11,0.034,
2005-12,0.034,
2006-01,0.034,
2006-02,0.034,
2006-03,0.034,
2006-04,0.034,
2006-05,0.024,
2006-06,0.024,
2006-07,0.011,
2006-08,0.009,
2006-09,0.009,
2006-10,0.009,
2006-11,0.009,
2006-12,0.010,
2007-01,0.009,
2007-02,0.011,
2007-03,0.009,
2007-04,0.009,
2007-05,0.009,
2007-06,0.009,
2007-07,0.032,
2007-08,0.032,
2007-09,0.009,
2007-10,0.009,
2007-11,0.009,
2007-12,0.009,
2008-01,0.009,
2008-02,0.009,
2008-03,0.009,
2008-04,0.009,
2008-05,0.008,
2008-06,0.013,
2008-07,0.013,
2008-08,0.013,
2008-09,0.013,
2008-10,0.013,
2008-11,0.013,
2008-12,0.013,
2009-01,0.013,
2009-02,0.013,
2009-03,0.012,
2009-04,0.012,
2009-05,0.012,
2009-06,0.011,
2009-07,0.011,
2009-08,0.011,
2009-09,0.011,
2009-10,0.011,
2009-11,0.011,
2009-12,0.016,
2010-01,0.019,
2010-02,0.032,
2010-03,0.026,
2010-04,0.020,
2010-05,0.011,
2010-06,0.009,
2010-07,0.009,
2010-08,0.008,
2010-09,0.008,
2010-10,0.009,
2010-11,0.009,
2010-12,0.009,
2011-01,0.008,
2011-02,0.009,
2011-03,0.009,
2011-04,0.015,
2011-05,0.009,
2011-06,0.008,
2011-07,0.010,
2011-08,0.010,
2011-09,0.010,
2011-10,0.009,
2011-11,0.009,
2011-12,0.008,
2012-01,0.008,
2012-02,0.008,
2012-03,0.008,
2012-04,0.008,
2012-05,0.008,
2012-06,0.008,
2012-07,0.009,
2012-08,0.009,
2012-09,0.009,
2012-10,0.009,
2012-11,0.009,
2012-12,0.006,
2013-01,0.006,
2013-02,0.006,
2013-03,0.006,
2013-04,0.011,
2013-05,0.006,
2013-06,0.005,
2013-07,0.005,
2013-08,0.004,
2013-09,0.004,
2013-10,0.005,
2013-11,0.005,
2013-12,0.005,
2014-01,0.005,
2014-02,0.005,
2014-03,0.004,
2014-04,0.005,
2014-05,0.005,
2014-06,0.005,
2014-07,0.005,
2014-08,0.005,
2014-09,0.004,
2014-10,0.004,
2014-11,0.005,
2014-12,0.004,Provisional value
