"",BBK01.OEHO05O,BBK01.OEHO05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:37,
2002-01,0.052,
2002-04,0.035,
2002-07,0.039,
2002-10,0.427,
2003-01,0.045,
2003-04,0.035,
2003-07,0.037,
2003-10,0.369,
2004-01,0.041,
2004-04,0.028,
2004-07,0.029,
2004-10,0.327,
2005-01,0.047,
2005-04,0.042,
2005-07,0.040,
2005-10,0.290,
2006-01,0.054,
2006-04,0.034,
2006-07,0.034,
2006-10,0.265,
2007-01,0.053,
2007-04,0.040,
2007-07,0.041,
2007-10,0.253,
2008-01,0.043,
2008-04,0.043,
2008-07,0.039,
2008-10,0.215,
2009-01,0.054,
2009-04,0.032,
2009-07,0.039,
2009-10,0.214,
2010-01,0.044,
2010-04,0.035,
2010-07,0.044,
2010-10,0.211,
2011-01,0.047,
2011-04,0.032,
2011-07,0.037,
2011-10,0.199,
2012-01,0.042,
2012-04,0.033,
2012-07,0.037,
2012-10,0.168,
2013-01,0.034,
2013-04,0.028,
2013-07,0.029,
2013-10,0.148,
2014-01,0.036,
2014-04,0.030,
2014-07,0.031,
