"",BBK01.OEAD16V,BBK01.OEAD16V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:00,
2002-01,0.257,
2002-04,0.263,
2002-07,0.262,
2002-10,0.236,
2003-01,0.256,
2003-04,0.226,
2003-07,0.231,
2003-10,0.232,
2004-01,0.231,
2004-04,0.207,
2004-07,0.206,
2004-10,0.201,
2005-01,0.196,
2005-04,0.189,
2005-07,0.193,
2005-10,0.175,
2006-01,0.168,
2006-04,0.178,
2006-07,0.172,
2006-10,0.154,
2007-01,0.144,
2007-04,0.162,
2007-07,0.150,
2007-10,0.133,
2008-01,0.151,
2008-04,0.157,
2008-07,0.151,
2008-10,0.148,
2009-01,0.159,
2009-04,0.151,
2009-07,0.156,
2009-10,0.121,
2010-01,0.182,
2010-04,0.186,
2010-07,0.131,
2010-10,0.127,
2011-01,0.138,
2011-04,0.152,
2011-07,0.180,
2011-10,0.157,
2012-01,0.187,
2012-04,0.179,
2012-07,0.191,
2012-10,0.154,
2013-01,0.175,
2013-04,0.183,
2013-07,0.188,
2013-10,0.160,
2014-01,0.168,
2014-04,0.182,
2014-07,0.165,
