"",BBK01.OEXB06V,BBK01.OEXB06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:31,
2002-01,1.616,
2002-04,1.706,
2002-07,1.670,
2002-10,1.598,
2003-01,1.449,
2003-04,1.203,
2003-07,1.268,
2003-10,1.267,
2004-01,1.288,
2004-04,1.241,
2004-07,1.247,
2004-10,1.182,
2005-01,1.114,
2005-04,1.072,
2005-07,0.924,
2005-10,0.875,
2006-01,0.875,
2006-04,0.890,
2006-07,0.757,
2006-10,0.822,
2007-01,0.772,
2007-04,0.768,
2007-07,0.742,
2007-10,0.730,
2008-01,0.733,
2008-04,0.698,
2008-07,0.708,
2008-10,0.799,
2009-01,0.731,
2009-04,0.762,
2009-07,0.761,
2009-10,0.744,
2010-01,0.656,
2010-04,0.697,
2010-07,0.530,
2010-10,0.499,
2011-01,0.448,
2011-04,0.421,
2011-07,0.476,
2011-10,0.432,
2012-01,0.388,
2012-04,0.374,
2012-07,0.343,
2012-10,0.413,
2013-01,0.368,
2013-04,0.351,
2013-07,0.337,
2013-10,0.335,
2014-01,0.349,
2014-04,0.406,
2014-07,0.402,
