"",BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.S6.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Other Asian countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:05,
1991-01,432.219,
1991-04,586.605,
1991-07,619.906,
1991-10,111.472,
1992-01,258.364,
1992-04,509.522,
1992-07,-286.546,
1992-10,480.212,
1993-01,-474.794,
1993-04,1.703,
1993-07,136.396,
1993-10,-38.055,
1994-01,1671.555,
1994-04,194.078,
1994-07,88.253,
1994-10,-253.296,
1995-01,280.961,
1995-04,-560.460,
1995-07,-68.717,
1995-10,634.010,
1996-01,271.714,
1996-04,1302.744,
1996-07,249.950,
1996-10,308.902,
1997-01,1466.421,
1997-04,1245.171,
1997-07,2299.493,
1997-10,-2054.532,
1998-01,762.878,
1998-04,268.970,
1998-07,-1051.253,
1998-10,3803.156,
1999-01,1831.195,
1999-04,-480.524,
1999-07,1579.711,
1999-10,1484.330,
2000-01,5033.541,
2000-04,-5.992,
2000-07,-1437.231,
2000-10,679.502,
2001-01,-7811.950,
2001-04,5902.051,
2001-07,-1933.221,
2001-10,-508.681,
2002-01,-906.541,
2002-04,3873.721,
2002-07,-2882.122,
2002-10,4212.076,
2003-01,-2427.970,
2003-04,3590.250,
2003-07,349.056,
2003-10,2001.237,
2004-01,3134.409,
2004-04,2599.695,
2004-07,3339.643,
2004-10,-2081.541,
2005-01,-2329.604,
2005-04,-2605.996,
2005-07,3673.546,
2005-10,5369.447,
2006-01,-2895.732,
2006-04,85.048,
2006-07,-956.081,
2006-10,722.698,
2007-01,-768.579,
2007-04,640.303,
2007-07,-1339.115,
2007-10,-768.636,
2008-01,-1380.477,
2008-04,1748.878,
2008-07,-2225.327,
2008-10,-3720.186,
2009-01,-704.008,
2009-04,147.820,
2009-07,887.238,
2009-10,-423.780,
2010-01,590.334,
2010-04,66.410,
2010-07,2505.262,
2010-10,11656.156,
2011-01,-1511.613,
2011-04,659.962,
2011-07,-850.482,
2011-10,-1966.126,
2012-01,145.307,
2012-04,1195.630,
2012-07,95.034,
2012-10,686.836,
2013-01,-1694.940,
2013-04,3393.446,
2013-07,335.157,
2013-10,2640.798,
2014-01,700.343,Provisional value
2014-04,-305.236,Provisional value
2014-07,1715.722,Provisional value
2014-10,421.351,Provisional value
