"",BBK01.OELL05K,BBK01.OELL05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:07,
2002-01,0.070,
2002-04,0.069,
2002-07,0.069,
2002-10,0.079,
2003-01,0.074,
2003-04,0.075,
2003-07,0.072,
2003-10,0.072,
2004-01,0.073,
2004-04,0.070,
2004-07,0.074,
2004-10,0.096,
2005-01,0.085,
2005-04,0.085,
2005-07,0.086,
2005-10,0.087,
2006-01,0.086,
2006-04,0.085,
2006-07,0.083,
2006-10,0.077,
2007-01,0.072,
2007-04,0.070,
2007-07,0.064,
2007-10,0.059,
2008-01,0.041,
2008-04,0.041,
2008-07,0.041,
2008-10,0.041,
2009-01,0.038,
2009-04,0.034,
2009-07,0.037,
2009-10,0.040,
2010-01,0.048,
2010-04,0.047,
2010-07,0.048,
2010-10,0.049,
2011-01,0.051,
2011-04,0.048,
2011-07,0.050,
2011-10,0.051,
2012-01,0.051,
2012-04,0.052,
2012-07,0.049,
2012-10,0.049,
2013-01,0.053,
2013-04,0.051,
2013-07,0.050,
2013-10,0.049,
2014-01,0.054,
2014-04,0.045,
2014-07,0.048,
