"",BBK01.OEAC33O,BBK01.OEAC33O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:09,
2002-01,0.043,
2002-04,0.035,
2002-07,0.033,
2002-10,0.026,
2003-01,0.026,
2003-04,0.023,
2003-07,0.035,
2003-10,0.043,
2004-01,0.043,
2004-04,0.048,
2004-07,0.056,
2004-10,0.061,
2005-01,0.070,
2005-04,0.069,
2005-07,0.063,
2005-10,0.056,
2006-01,0.055,
2006-04,0.053,
2006-07,0.044,
2006-10,0.045,
2007-01,0.045,
2007-04,0.044,
2007-07,0.034,
2007-10,0.040,
2008-01,0.034,
2008-04,0.036,
2008-07,0.023,
2008-10,0.056,
2009-01,0.053,
2009-04,0.071,
2009-07,0.089,
2009-10,0.110,
2010-01,0.108,
2010-04,0.127,
2010-07,0.147,
2010-10,0.254,
2011-01,0.140,
2011-04,0.134,
2011-07,0.145,
2011-10,0.133,
2012-01,0.126,
2012-04,0.136,
2012-07,0.146,
2012-10,0.144,
2013-01,0.143,
2013-04,0.155,
2013-07,0.167,
2013-10,0.160,
2014-01,0.149,
2014-04,0.142,
2014-07,0.138,
