"",BBK01.OEXK03G,BBK01.OEXK03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:10,
2002-01,0.573,
2002-04,0.560,
2002-07,0.577,
2002-10,0.614,
2003-01,0.510,
2003-04,0.497,
2003-07,0.428,
2003-10,0.405,
2004-01,0.369,
2004-04,0.367,
2004-07,0.366,
2004-10,0.432,
2005-01,0.320,
2005-04,0.309,
2005-07,0.146,
2005-10,0.170,
2006-01,0.222,
2006-04,0.233,
2006-07,0.243,
2006-10,0.252,
2007-01,0.270,
2007-04,0.280,
2007-07,0.249,
2007-10,0.311,
2008-01,0.320,
2008-04,0.363,
2008-07,0.370,
2008-10,0.334,
2009-01,0.244,
2009-04,0.227,
2009-07,0.165,
2009-10,0.134,
2010-01,0.133,
2010-04,0.109,
2010-07,0.100,
2010-10,0.118,
2011-01,0.133,
2011-04,0.129,
2011-07,0.135,
2011-10,0.140,
2012-01,0.128,
2012-04,0.115,
2012-07,0.105,
2012-10,0.161,
2013-01,0.166,
2013-04,0.195,
2013-07,0.201,
2013-10,0.139,
2014-01,0.083,
2014-04,0.087,
2014-07,0.314,
