"",BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F4.T._T.N.N,BBFB1.M.N.DE.W1.S1P.S1.T.L.FA.O.F4.T._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Loans / Enterprises and households / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:01,
1991-01,1488.270,
1991-02,2742.272,
1991-03,1673.565,
1991-04,1678.500,
1991-05,763.227,
1991-06,2917.848,
1991-07,841.937,
1991-08,961.126,
1991-09,-121.517,
1991-10,1611.894,
1991-11,-257.802,
1991-12,188.899,
1992-01,-1556.428,
1992-02,-109.526,
1992-03,-2758.378,
1992-04,-13.921,
1992-05,1091.752,
1992-06,659.191,
1992-07,2300.881,
1992-08,1050.681,
1992-09,2613.774,
1992-10,1429.534,
1992-11,1963.930,
1992-12,-1063.925,
1993-01,2644.956,
1993-02,1080.827,
1993-03,52.037,
1993-04,1653.407,
1993-05,630.021,
1993-06,-1919.206,
1993-07,-548.448,
1993-08,1120.682,
1993-09,-1306.887,
1993-10,893.032,
1993-11,-1360.350,
1993-12,841.654,
1994-01,-1252.676,
1994-02,1171.427,
1994-03,1012.125,
1994-04,-117.947,
1994-05,512.740,
1994-06,-1611.142,
1994-07,-97.768,
1994-08,1107.349,
1994-09,-443.022,
1994-10,-782.316,
1994-11,302.109,
1994-12,-541.055,
1995-01,1447.409,
1995-02,642.041,
1995-03,1900.360,
1995-04,1354.762,
1995-05,263.200,
1995-06,-1180.093,
1995-07,-368.321,
1995-08,-321.828,
1995-09,1640.403,
1995-10,821.077,
1995-11,1056.737,
1995-12,360.743,
1996-01,439.186,
1996-02,1620.686,
1996-03,-1233.859,
1996-04,739.900,
1996-05,1381.186,
1996-06,-2084.045,
1996-07,-571.933,
1996-08,-163.838,
1996-09,1779.472,
1996-10,36.912,
1996-11,-198.366,
1996-12,-519.110,
1997-01,-952.080,
1997-02,1368.928,
1997-03,50.449,
1997-04,1829.873,
1997-05,1132.663,
1997-06,3133.825,
1997-07,416.483,
1997-08,-2106.187,
1997-09,-1398.678,
1997-10,2557.025,
1997-11,-799.010,
1997-12,-1050.451,
1998-01,1329.940,
1998-02,289.026,
1998-03,2103.285,
1998-04,295.106,
1998-05,-1063.608,
1998-06,1010.913,
1998-07,1351.558,
1998-08,-1216.988,
1998-09,3285.027,
1998-10,363.317,
1998-11,1508.383,
1998-12,1049.929,
1999-01,1301.369,
1999-02,-404.697,
1999-03,3498.638,
1999-04,486.100,
1999-05,327.994,
1999-06,3065.365,
1999-07,1312.502,
1999-08,1409.869,
1999-09,-1253.860,
1999-10,5279.214,
1999-11,-1698.829,
1999-12,4833.667,
2000-01,4138.007,
2000-02,9049.809,
2000-03,862.087,
2000-04,-2363.871,
2000-05,714.888,
2000-06,-6494.363,
2000-07,-5285.157,
2000-08,-1284.553,
2000-09,5517.950,
2000-10,-2184.108,
2000-11,-687.631,
2000-12,1181.268,
2001-01,3728.543,
2001-02,-201.449,
2001-03,-594.612,
2001-04,5437.224,
2001-05,3149.179,
2001-06,-3307.274,
2001-07,2941.535,
2001-08,-3095.954,
2001-09,-520.665,
2001-10,736.693,
2001-11,974.924,
2001-12,-2850.296,
2002-01,1699.995,
2002-02,3622.040,
2002-03,1752.551,
2002-04,-2109.489,
2002-05,163.288,
2002-06,-1874.616,
2002-07,526.911,
2002-08,193.388,
2002-09,403.462,
2002-10,676.357,
2002-11,1332.097,
2002-12,-5558.412,
2003-01,3336.925,
2003-02,763.032,
2003-03,-5593.621,
2003-04,1456.277,
2003-05,-1657.201,
2003-06,-1214.472,
2003-07,2090.379,
2003-08,621.757,
2003-09,-1460.284,
2003-10,-222.726,
2003-11,1367.848,
2003-12,388.380,
2004-01,5864.398,
2004-02,2627.892,
2004-03,-54.195,
2004-04,-1165.395,
2004-05,-469.512,
2004-06,-958.499,
2004-07,-1680.550,
2004-08,-1087.403,
2004-09,916.936,
2004-10,386.103,
2004-11,313.841,
2004-12,-847.156,
2005-01,3251.735,
2005-02,4502.704,
2005-03,-868.788,
2005-04,-839.748,
2005-05,-144.447,
2005-06,2278.731,
2005-07,2248.976,
2005-08,4609.384,
2005-09,6284.602,
2005-10,2772.414,
2005-11,3389.429,
2005-12,-4535.478,
2006-01,6654.499,
2006-02,4442.756,
2006-03,2349.444,
2006-04,1849.474,
2006-05,268.664,
2006-06,10646.293,
2006-07,413.521,
2006-08,1043.731,
2006-09,3014.200,
2006-10,-363.409,
2006-11,2877.999,
2006-12,4838.992,
2007-01,6824.598,
2007-02,12315.096,
2007-03,-7412.659,
2007-04,-532.110,
2007-05,6777.658,
2007-06,6855.814,
2007-07,432.675,
2007-08,-1230.133,
2007-09,9475.625,
2007-10,-6742.894,
2007-11,3616.185,
2007-12,2382.761,
2008-01,7081.269,
2008-02,13378.656,
2008-03,1854.907,
2008-04,-1691.162,
2008-05,-1505.608,
2008-06,7070.891,
2008-07,-9030.129,
2008-08,-1296.605,
2008-09,4428.780,
2008-10,16210.885,
2008-11,-2716.173,
2008-12,5634.785,
2009-01,-348.467,
2009-02,-2754.250,
2009-03,-3021.422,
2009-04,4420.847,
2009-05,-6902.458,
2009-06,-183.906,
2009-07,-4037.730,
2009-08,-3041.938,
2009-09,-2.238,
2009-10,-2018.153,
2009-11,628.521,
2009-12,12733.826,
2010-01,-13483.959,
2010-02,1200.297,
2010-03,338.154,
2010-04,-857.506,
2010-05,5523.862,
2010-06,2899.667,
2010-07,10431.653,
2010-08,-1359.219,
2010-09,971.560,
2010-10,-5960.650,
2010-11,54.143,
2010-12,-786.788,
2011-01,4937.603,
2011-02,-9763.499,
2011-03,-868.286,
2011-04,3471.887,
2011-05,1745.858,
2011-06,-982.155,
2011-07,7450.865,
2011-08,6758.875,
2011-09,9878.375,
2011-10,-11252.323,
2011-11,2397.919,
2011-12,-543.068,
2012-01,-971.858,
2012-02,-3161.044,
2012-03,11275.067,
2012-04,10436.827,
2012-05,6605.023,
2012-06,-2322.001,
2012-07,-3401.624,
2012-08,-11587.125,
2012-09,4335.100,
2012-10,1422.070,
2012-11,-2368.836,
2012-12,-7838.569,
2013-01,336.840,
2013-02,1470.555,
2013-03,4391.518,
2013-04,10494.803,
2013-05,-6674.418,
2013-06,5481.863,
2013-07,-7542.831,
2013-08,1686.643,
2013-09,60.655,
2013-10,-12753.107,
2013-11,2739.236,
2013-12,-20146.467,
2014-01,8531.289,
2014-02,-4457.721,Provisional value
2014-03,4804.356,Provisional value
2014-04,4039.723,Provisional value
2014-05,-1492.830,Provisional value
2014-06,-767.293,Provisional value
2014-07,6030.946,Provisional value
2014-08,-7609.431,Provisional value
2014-09,-2127.077,
2014-10,-3668.492,
2014-11,3621.698,
2014-12,-6260.772,Provisional value
