"",BBK01.CEB00I,BBK01.CEB00I_FLAGS
"",Financial assets debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:13,
1991-01,1750.5,
1991-04,1786.9,
1991-07,1808.5,
1991-10,1926.0,
1992-01,1897.0,
1992-04,1925.9,
1992-07,1926.5,
1992-10,2059.3,
1993-01,2002.3,
1993-04,2018.5,
1993-07,2061.1,
1993-10,2287.9,
1994-01,2313.4,
1994-04,2330.4,
1994-07,2349.8,
1994-10,2391.0,
1995-01,2419.8,
1995-04,2473.0,
1995-07,2513.7,
1995-10,2563.7,
1996-01,2608.5,
1996-04,2646.4,
1996-07,2684.1,
1996-10,2745.7,
1997-01,2820.7,
1997-04,2876.7,
1997-07,2928.3,
1997-10,2961.8,
1998-01,3069.4,
1998-04,3146.9,
1998-07,3082.0,
1998-10,3167.0,
1999-01,3257.3,
1999-04,3286.4,
1999-07,3256.6,
1999-10,3440.1,
2000-01,3515.4,
2000-04,3489.3,
2000-07,3507.9,
2000-10,3515.8,
2001-01,3488.5,
2001-04,3516.3,
2001-07,3439.0,
2001-10,3608.8,
2002-01,3653.4,
2002-04,3609.2,
2002-07,3517.0,
2002-10,3576.0,
2003-01,3595.4,
2003-04,3694.4,
2003-07,3722.4,
2003-10,3808.0,
2004-01,3854.6,
2004-04,3889.6,
2004-07,3911.5,
2004-10,3970.9,
2005-01,4026.1,
2005-04,4082.0,
2005-07,4145.9,
2005-10,4200.7,
2006-01,4139.6,
2006-04,4131.9,
2006-07,4154.8,
2006-10,4231.0,
2007-01,4310.1,
2007-04,4390.6,
2007-07,4417.3,
2007-10,4476.2,
2008-01,4403.9,
2008-04,4405.3,
2008-07,4360.5,
2008-10,4303.0,
2009-01,4266.9,
2009-04,4337.8,
2009-07,4411.0,
2009-10,4473.5,
2010-01,4525.9,
2010-04,4551.3,
2010-07,4573.8,
2010-10,4659.7,
2011-01,4682.4,
2011-04,4713.1,
2011-07,4651.2,
2011-10,4714.3,
2012-01,4808.2,
2012-04,4820.9,
2012-07,4893.6,
2012-10,4953.0,
2013-01,5008.1,
2013-04,5026.8,
2013-07,5074.5,
2013-10,5152.8,
2014-01,5206.7,
