"",BBK01.PQK352,BBK01.PQK352_FLAGS
"",Lending to domestic enterprises and resident individuals / Medium-term / Regional institutions of credit cooperatives,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:20:01,
1958-10,0.056,
1959-01,-,Nothing exists
1959-04,0.066,
1959-07,-,Nothing exists
1959-10,0.099,
1960-01,-,Nothing exists
1960-04,0.100,
1960-07,-,Nothing exists
1960-10,0.106,
1961-01,-,Nothing exists
1961-04,0.099,
1961-07,-,Nothing exists
1961-10,0.101,
1962-01,-,Nothing exists
1962-04,0.106,
1962-07,-,Nothing exists
1962-10,0.141,
1963-01,-,Nothing exists
1963-04,0.130,
1963-07,-,Nothing exists
1963-10,0.146,
1964-01,-,Nothing exists
1964-04,0.147,
1964-07,-,Nothing exists
1964-10,0.160,
1965-01,0.152,
1965-04,0.146,
1965-07,0.154,
1965-10,0.159,
1966-01,0.157,
1966-04,0.157,
1966-07,0.167,
1966-10,0.179,
1967-01,0.192,
1967-04,0.199,
1967-07,0.215,
1967-10,0.187,
1968-01,0.180,
1968-04,0.177,
1968-07,0.179,
1968-10,0.215,
1969-01,0.225,
1969-04,0.220,
1969-07,0.222,
1969-10,0.256,
1970-01,0.258,
1970-04,0.272,
1970-07,0.381,
1970-10,0.413,
1971-01,0.478,
1971-04,0.586,
1971-07,0.708,
1971-10,0.783,
1972-01,0.774,
1972-04,0.769,
1972-07,0.808,
1972-10,0.851,
1973-01,0.868,
1973-04,0.937,
1973-07,0.853,
1973-10,0.852,
1974-01,0.870,
1974-04,1.014,
1974-07,1.325,
1974-10,1.480,
1975-01,1.484,
1975-04,1.384,
1975-07,1.363,
1975-10,1.275,
1976-01,1.255,
1976-04,1.293,
1976-07,1.260,
1976-10,1.284,
1977-01,1.312,
1977-04,1.178,
1977-07,1.043,
1977-10,1.109,
1978-01,1.123,
1978-04,1.143,
1978-07,1.183,
1978-10,1.346,
1979-01,1.429,
1979-04,1.557,
1979-07,1.584,
1979-10,1.697,
1980-01,1.450,
1980-04,1.381,
1980-07,1.349,
1980-10,1.813,
1981-01,1.720,
1981-04,1.693,
1981-07,1.847,
1981-10,1.921,
1982-01,1.820,
1982-04,1.813,
1982-07,1.850,
1982-10,1.700,
1983-01,1.542,
1983-04,1.745,
1983-07,1.770,
1983-10,1.692,
1984-01,1.504,
1984-04,1.425,
1984-07,1.391,
1984-10,1.661,
1985-01,1.450,
1985-04,1.751,
1985-07,1.520,
1985-10,1.664,
1986-01,1.797,
1986-04,1.675,
1986-07,1.665,
1986-10,1.396,
1987-01,1.318,
1987-04,1.333,
1987-07,1.307,
1987-10,1.280,
1988-01,1.364,
1988-04,1.226,
1988-07,1.207,
1988-10,1.231,
1989-01,1.145,
1989-04,1.114,
1989-07,1.090,
1989-10,1.224,
1990-01,1.092,
1990-04,1.087,
1990-07,1.118,
1990-10,1.387,
1991-01,1.779,
1991-04,2.067,
1991-07,1.975,
1991-10,2.062,
1992-01,2.010,
1992-04,2.090,
1992-07,1.895,
1992-10,1.875,
1993-01,1.883,
1993-04,1.903,
1993-07,2.267,
1993-10,2.281,
1994-01,2.312,
1994-04,2.296,
1994-07,1.885,
1994-10,1.764,
1995-01,1.161,
1995-04,1.144,
1995-07,1.101,
1995-10,1.162,
1996-01,1.486,
1996-04,1.513,
1996-07,1.845,
1996-10,1.858,
1997-01,1.768,
1997-04,1.780,
1997-07,2.169,
1997-10,1.936,
1998-01,2.140,
1998-04,2.039,
1998-07,2.138,
1998-10,2.168,
1999-01,4.175,
1999-04,4.169,
1999-07,4.736,
1999-10,4.904,
2000-01,5.015,
2000-04,5.179,
2000-07,5.322,
2000-10,5.459,
2001-01,4.569,
2001-04,4.508,
2001-07,4.031,
2001-10,3.684,
2002-01,3.810,
2002-04,3.474,
2002-07,3.304,
2002-10,3.027,
2003-01,2.857,
2003-04,2.824,
2003-07,2.464,
2003-10,2.007,
2004-01,1.873,
2004-04,1.814,
2004-07,1.867,
2004-10,1.672,
2005-01,1.901,
2005-04,2.022,
2005-07,1.764,
2005-10,2.037,
2006-01,2.156,
2006-04,2.356,
2006-07,2.694,
2006-10,2.529,
2007-01,2.572,
2007-04,2.699,
2007-07,2.617,
2007-10,3.630,
2008-01,3.909,
2008-04,3.466,
2008-07,3.717,
2008-10,3.924,
2009-01,4.090,
2009-04,4.290,
2009-07,4.660,
2009-10,4.961,
2010-01,4.942,
2010-04,5.134,
2010-07,5.151,
2010-10,4.824,
2011-01,4.850,
2011-04,4.893,
2011-07,4.977,
2011-10,5.142,
2012-01,5.200,
2012-04,5.435,
2012-07,5.336,
2012-10,5.470,
2013-01,5.451,
2013-04,5.426,
2013-07,5.309,
2013-10,5.225,
2014-01,5.239,
2014-04,5.355,
2014-07,5.364,
2014-10,5.290,
