"",BBK01.OUC376,BBK01.OUC376_FLAGS
"",Loans to foreign general government / Total / Big banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:42,
1999-01,1.254,
1999-02,1.473,
1999-03,1.508,
1999-04,1.626,
1999-05,1.845,
1999-06,1.514,
1999-07,1.872,
1999-08,1.380,
1999-09,1.507,
1999-10,1.366,
1999-11,1.552,
1999-12,1.614,
2000-01,1.558,
2000-02,1.107,
2000-03,1.401,
2000-04,1.347,
2000-05,1.308,
2000-06,1.218,
2000-07,1.250,
2000-08,1.681,
2000-09,1.174,
2000-10,1.247,
2000-11,1.520,
2000-12,1.725,
2001-01,1.914,
2001-02,1.663,
2001-03,1.564,
2001-04,1.914,
2001-05,2.331,
2001-06,1.816,
2001-07,1.832,
2001-08,2.190,
2001-09,1.516,
2001-10,1.533,
2001-11,1.522,
2001-12,2.509,
2002-01,2.111,
2002-02,2.023,
2002-03,2.095,
2002-04,1.906,
2002-05,1.760,
2002-06,1.774,
2002-07,1.616,
2002-08,1.678,
2002-09,2.200,
2002-10,1.597,
2002-11,1.523,
2002-12,1.542,
2003-01,1.568,
2003-02,1.488,
2003-03,1.461,
2003-04,1.655,
2003-05,1.564,
2003-06,1.643,
2003-07,1.852,
2003-08,1.719,
2003-09,1.648,
2003-10,1.689,
2003-11,1.691,
2003-12,1.548,
2004-01,1.494,
2004-02,1.486,
2004-03,1.601,
2004-04,1.482,
2004-05,1.914,
2004-06,1.575,
2004-07,2.182,
2004-08,1.638,
2004-09,1.806,
2004-10,1.839,
2004-11,2.112,
2004-12,5.100,
2005-01,4.304,
2005-02,4.975,
2005-03,4.490,
2005-04,4.922,
2005-05,4.899,
2005-06,4.464,
2005-07,4.487,
2005-08,4.717,
2005-09,5.752,
2005-10,5.383,
2005-11,4.973,
2005-12,5.485,
2006-01,5.452,
2006-02,4.933,
2006-03,5.264,
2006-04,5.267,
2006-05,5.552,
2006-06,5.592,
2006-07,4.990,
2006-08,5.908,
2006-09,5.221,
2006-10,5.629,
2006-11,5.264,
2006-12,5.696,
2007-01,5.104,
2007-02,5.114,
2007-03,5.007,
2007-04,4.671,
2007-05,4.884,
2007-06,5.908,
2007-07,5.113,
2007-08,5.175,
2007-09,4.643,
2007-10,5.241,
2007-11,5.095,
2007-12,5.266,
2008-01,5.926,
2008-02,5.213,
2008-03,5.447,
2008-04,5.193,
2008-05,5.397,
2008-06,5.553,
2008-07,5.186,
2008-08,5.025,
2008-09,4.983,
2008-10,5.089,
2008-11,5.375,
2008-12,5.033,
2009-01,4.823,
2009-02,4.811,
2009-03,4.983,
2009-04,4.681,
2009-05,4.453,
2009-06,4.450,
2009-07,4.383,
2009-08,4.363,
2009-09,4.362,
2009-10,4.429,
2009-11,4.375,
2009-12,4.670,
2010-01,4.764,
2010-02,4.875,
2010-03,4.856,
2010-04,4.469,
2010-05,4.523,
2010-06,2.311,
2010-07,2.302,
2010-08,2.331,
2010-09,2.322,
2010-10,3.115,
2010-11,2.322,
2010-12,2.269,
2011-01,2.521,
2011-02,2.748,
2011-03,2.316,
2011-04,2.461,
2011-05,2.487,
2011-06,2.572,
2011-07,2.845,
2011-08,2.642,
2011-09,2.811,
2011-10,2.292,
2011-11,2.383,
2011-12,2.510,
2012-01,2.513,
2012-02,2.380,
2012-03,2.436,
2012-04,2.353,
2012-05,2.512,
2012-06,2.556,
2012-07,2.412,
2012-08,2.381,
2012-09,2.364,
2012-10,2.424,
2012-11,2.437,
2012-12,2.496,
2013-01,2.444,
2013-02,2.412,
2013-03,2.374,
2013-04,2.489,
2013-05,2.432,
2013-06,2.288,
2013-07,2.208,
2013-08,2.158,
2013-09,2.112,
2013-10,2.124,
2013-11,2.192,
2013-12,2.174,
2014-01,2.257,
2014-02,2.331,
2014-03,2.255,
2014-04,2.875,
2014-05,2.269,
2014-06,2.524,
2014-07,2.641,
2014-08,2.734,
2014-09,3.377,
2014-10,3.455,
2014-11,3.457,
2014-12,3.913,Provisional value
