"",BBK01.OECB08N,BBK01.OECB08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:49,
2002-01,31.054,
2002-04,30.976,
2002-07,30.450,
2002-10,30.379,
2003-01,28.918,
2003-04,28.769,
2003-07,28.517,
2003-10,28.321,
2004-01,28.079,
2004-04,27.819,
2004-07,27.468,
2004-10,27.082,
2005-01,36.570,
2005-04,36.821,
2005-07,37.268,
2005-10,36.907,
2006-01,36.678,
2006-04,36.667,
2006-07,36.530,
2006-10,36.408,
2007-01,36.340,
2007-04,36.670,
2007-07,36.248,
2007-10,36.339,
2008-01,36.135,
2008-04,37.267,
2008-07,38.825,
2008-10,38.581,
2009-01,38.140,
2009-04,40.896,
2009-07,40.774,
2009-10,40.694,
2010-01,40.317,
2010-04,40.139,
2010-07,40.017,
2010-10,40.665,
2011-01,40.481,
2011-04,40.114,
2011-07,39.844,
2011-10,39.743,
2012-01,39.497,
2012-04,39.372,
2012-07,39.442,
2012-10,39.271,
2013-01,39.098,
2013-04,39.042,
2013-07,39.070,
2013-10,38.977,
2014-01,38.978,
2014-04,38.773,
2014-07,38.738,
