"",BBK01.OEAH52O,BBK01.OEAH52O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:07,
2002-01,0.142,
2002-04,0.142,
2002-07,0.142,
2002-10,0.148,
2003-01,0.133,
2003-04,0.126,
2003-07,0.123,
2003-10,0.128,
2004-01,0.131,
2004-04,0.136,
2004-07,0.141,
2004-10,0.147,
2005-01,0.145,
2005-04,0.145,
2005-07,0.137,
2005-10,0.138,
2006-01,0.135,
2006-04,0.133,
2006-07,0.134,
2006-10,0.138,
2007-01,0.131,
2007-04,0.127,
2007-07,0.122,
2007-10,0.121,
2008-01,0.112,
2008-04,0.107,
2008-07,0.110,
2008-10,0.107,
2009-01,0.116,
2009-04,0.126,
2009-07,0.137,
2009-10,0.151,
2010-01,0.161,
2010-04,0.167,
2010-07,0.166,
2010-10,0.170,
2011-01,0.174,
2011-04,0.185,
2011-07,0.187,
2011-10,0.188,
2012-01,0.183,
2012-04,0.184,
2012-07,0.183,
2012-10,0.185,
2013-01,0.186,
2013-04,0.187,
2013-07,0.182,
2013-10,0.185,
2014-01,0.181,
2014-04,0.175,
2014-07,0.169,
