"",BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:16,
1991-01,-119.877,
1991-04,48.405,
1991-07,-127.106,
1991-10,-24.569,
1992-01,116.979,
1992-04,-50.143,
1992-07,-355.305,
1992-10,-388.976,
1993-01,-242.239,
1993-04,499.960,
1993-07,-134.273,
1993-10,703.904,
1994-01,-7.432,
1994-04,-92.238,
1994-07,257.004,
1994-10,105.314,
1995-01,-156.435,
1995-04,-219.226,
1995-07,463.627,
1995-10,-249.421,
1996-01,-119.600,
1996-04,-457.109,
1996-07,351.068,
1996-10,893.240,
1997-01,3257.465,
1997-04,-387.477,
1997-07,2021.608,
1997-10,1712.382,
1998-01,2586.779,
1998-04,2801.240,
1998-07,1766.393,
1998-10,2643.647,
1999-01,1748.008,
1999-04,-155.847,
1999-07,-929.488,
1999-10,1283.744,
2000-01,-273.478,
2000-04,1919.932,
2000-07,2368.778,
2000-10,798.491,
2001-01,353.098,
2001-04,-561.902,
2001-07,-5709.947,
2001-10,-481.562,
2002-01,148.912,
2002-04,-532.678,
2002-07,-1274.585,
2002-10,-2275.195,
2003-01,-1305.640,
2003-04,-181.488,
2003-07,-1168.128,
2003-10,1585.998,
2004-01,-3676.393,
2004-04,1964.851,
2004-07,570.896,
2004-10,330.412,
2005-01,-735.724,
2005-04,2310.806,
2005-07,3231.305,
2005-10,1771.252,
2006-01,2162.615,
2006-04,1757.766,
2006-07,3058.948,
2006-10,2583.498,
2007-01,-1192.612,
2007-04,4816.197,
2007-07,-877.348,
2007-10,794.349,
2008-01,1073.793,
2008-04,2242.038,
2008-07,798.907,
2008-10,-3515.106,
2009-01,-1854.715,
2009-04,-241.898,
2009-07,-2192.138,
2009-10,-932.205,
2010-01,-892.715,
2010-04,3115.733,
2010-07,3616.638,
2010-10,-2401.240,
2011-01,-1755.202,
2011-04,-367.297,
2011-07,52.574,
2011-10,1205.287,
2012-01,3885.320,
2012-04,1992.451,
2012-07,-1967.611,
2012-10,2502.236,
2013-01,1516.531,
2013-04,404.937,
2013-07,2802.756,
2013-10,2878.811,
2014-01,394.691,Provisional value
2014-04,1282.804,Provisional value
2014-07,-427.061,Provisional value
2014-10,1693.117,Provisional value
