"",BBK01.OEAN05P,BBK01.OEAN05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:08,
2002-01,1.382,
2002-04,1.341,
2002-07,1.288,
2002-10,1.313,
2003-01,1.328,
2003-04,1.497,
2003-07,1.426,
2003-10,1.443,
2004-01,1.412,
2004-04,1.396,
2004-07,1.372,
2004-10,1.368,
2005-01,1.392,
2005-04,1.362,
2005-07,1.210,
2005-10,1.211,
2006-01,1.196,
2006-04,1.155,
2006-07,1.111,
2006-10,1.079,
2007-01,1.057,
2007-04,1.029,
2007-07,0.998,
2007-10,1.031,
2008-01,1.013,
2008-04,0.984,
2008-07,0.957,
2008-10,1.044,
2009-01,1.120,
2009-04,1.132,
2009-07,1.205,
2009-10,1.198,
2010-01,1.176,
2010-04,1.106,
2010-07,1.122,
2010-10,1.143,
2011-01,1.133,
2011-04,1.119,
2011-07,1.070,
2011-10,1.050,
2012-01,1.063,
2012-04,0.977,
2012-07,0.963,
2012-10,0.961,
2013-01,0.977,
2013-04,0.992,
2013-07,0.972,
2013-10,0.999,
2014-01,1.011,
2014-04,1.023,
2014-07,1.028,
