"",BBK01.SUD126S,BBK01.SUD126S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans to non-financial corporations up to EUR 1 million with an initial rate fixation of over 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:40:02,
2000-01,6.1581,Estimated value
2000-02,6.2300,Estimated value
2000-03,6.2030,Estimated value
2000-04,6.1851,Estimated value
2000-05,6.3646,Estimated value
2000-06,6.3826,Estimated value
2000-07,6.4364,Estimated value
2000-08,6.4723,Estimated value
2000-09,6.4993,Estimated value
2000-10,6.5082,Estimated value
2000-11,6.5172,Estimated value
2000-12,6.3197,Estimated value
2001-01,6.1851,Estimated value
2001-02,6.1851,Estimated value
2001-03,6.0863,Estimated value
2001-04,6.0774,Estimated value
2001-05,6.1133,Estimated value
2001-06,6.1222,Estimated value
2001-07,6.1222,Estimated value
2001-08,6.0504,Estimated value
2001-09,5.9607,Estimated value
2001-10,5.7811,Estimated value
2001-11,5.6375,Estimated value
2001-12,5.7452,Estimated value
2002-01,5.8170,Estimated value
2002-02,5.8978,Estimated value
2002-03,6.0774,Estimated value
2002-04,6.1222,Estimated value
2002-05,6.1581,Estimated value
2002-06,6.0594,Estimated value
2002-07,5.9966,Estimated value
2002-08,5.8440,Estimated value
2002-09,5.7183,Estimated value
2002-10,5.6734,Estimated value
2002-11,5.6195,Estimated value
2002-12,5.5028,Estimated value
