"",BBK01.CELF09,BBK01.CELF09_FLAGS
"",long-term loans                                            debtor: Total            creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:58,
1999-01,-1.6,
1999-04,2.7,
1999-07,0.3,
1999-10,0.3,
2000-01,0.2,
2000-04,1.3,
2000-07,-5.3,
2000-10,2.2,
2001-01,-2.1,
2001-04,1.8,
2001-07,2.1,
2001-10,-2.3,
2002-01,0.2,
2002-04,2.5,
2002-07,-4.9,
2002-10,5.9,
2003-01,-4.5,
2003-04,-4.4,
2003-07,-4.6,
2003-10,-0.1,
2004-01,-2.9,
2004-04,0.0,
2004-07,0.0,
2004-10,0.0,
2005-01,0.0,
2005-04,0.0,
2005-07,0.1,
2005-10,0.1,
2006-01,0.0,
2006-04,0.0,
2006-07,0.1,
2006-10,0.2,
2007-01,0.0,
2007-04,-0.1,
2007-07,0.0,
2007-10,0.1,
2008-01,0.1,
2008-04,0.0,
2008-07,0.0,
2008-10,0.3,
2009-01,-0.1,
2009-04,0.5,
2009-07,0.3,
2009-10,0.1,
2010-01,0.2,
2010-04,0.3,
2010-07,0.1,
2010-10,1.0,
2011-01,-0.3,
2011-04,-0.1,
2011-07,0.0,
2011-10,0.2,
2012-01,0.0,
2012-04,0.5,
2012-07,0.2,
2012-10,1.4,
2013-01,-0.1,
2013-04,-0.2,
2013-07,0.1,
2013-10,0.4,
2014-01,1.3,
2014-04,-0.1,
2014-07,1.7,
