"",BBK01.OEXL08O,BBK01.OEXL08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:36,
2002-01,-24.304,
2002-04,-24.703,
2002-07,-25.011,
2002-10,-27.913,
2003-01,-29.393,
2003-04,-29.767,
2003-07,-30.415,
2003-10,-32.610,
2004-01,-33.736,
2004-04,-34.089,
2004-07,-34.231,
2004-10,-35.050,
2005-01,0.452,
2005-04,0.472,
2005-07,0.477,
2005-10,0.497,
2006-01,0.496,
2006-04,0.473,
2006-07,0.445,
2006-10,0.459,
2007-01,0.459,
2007-04,0.465,
2007-07,0.475,
2007-10,0.512,
2008-01,0.516,
2008-04,0.497,
2008-07,0.494,
2008-10,0.494,
2009-01,0.493,
2009-04,0.489,
2009-07,0.537,
2009-10,0.597,
2010-01,0.598,
2010-04,0.586,
2010-07,0.580,
2010-10,0.593,
2011-01,0.583,
2011-04,0.564,
2011-07,0.555,
2011-10,0.570,
2012-01,0.572,
2012-04,0.575,
2012-07,0.586,
2012-10,0.619,
2013-01,0.619,
2013-04,0.623,
2013-07,0.628,
2013-10,0.639,
2014-01,0.631,
2014-04,0.624,
2014-07,0.613,
