"",BBK01.OEAP03P,BBK01.OEAP03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:59,
2002-01,2.388,
2002-04,2.323,
2002-07,2.183,
2002-10,1.935,
2003-01,2.165,
2003-04,2.376,
2003-07,2.087,
2003-10,2.049,
2004-01,1.700,
2004-04,1.840,
2004-07,1.800,
2004-10,1.720,
2005-01,1.465,
2005-04,1.425,
2005-07,1.319,
2005-10,1.165,
2006-01,1.045,
2006-04,1.030,
2006-07,1.186,
2006-10,1.033,
2007-01,0.933,
2007-04,0.825,
2007-07,0.636,
2007-10,0.644,
2008-01,0.657,
2008-04,0.736,
2008-07,0.578,
2008-10,0.548,
2009-01,0.450,
2009-04,0.509,
2009-07,0.431,
2009-10,0.495,
2010-01,0.367,
2010-04,0.701,
2010-07,0.409,
2010-10,0.334,
2011-01,0.316,
2011-04,0.295,
2011-07,0.291,
2011-10,0.308,
2012-01,0.206,
2012-04,0.244,
2012-07,0.284,
2012-10,0.245,
2013-01,0.372,
2013-04,0.310,
2013-07,0.336,
2013-10,0.240,
2014-01,0.207,
2014-04,0.223,
2014-07,0.587,
