"",BBK01.OEXK04U,BBK01.OEXK04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:22,
2002-01,0.033,
2002-04,0.032,
2002-07,0.030,
2002-10,0.032,
2003-01,0.030,
2003-04,0.036,
2003-07,0.033,
2003-10,0.034,
2004-01,0.031,
2004-04,0.030,
2004-07,0.033,
2004-10,0.032,
2005-01,0.034,
2005-04,0.034,
2005-07,0.037,
2005-10,0.036,
2006-01,0.034,
2006-04,0.036,
2006-07,0.039,
2006-10,0.041,
2007-01,0.041,
2007-04,0.040,
2007-07,0.043,
2007-10,0.048,
2008-01,0.049,
2008-04,0.062,
2008-07,0.070,
2008-10,0.071,
2009-01,0.041,
2009-04,0.029,
2009-07,0.012,
2009-10,0.009,
2010-01,0.010,
2010-04,0.009,
2010-07,0.011,
2010-10,0.013,
2011-01,0.011,
2011-04,0.014,
2011-07,0.014,
2011-10,0.017,
2012-01,0.029,
2012-04,0.031,
2012-07,0.033,
2012-10,0.021,
2013-01,0.018,
2013-04,0.016,
2013-07,0.015,
2013-10,0.017,
2014-01,0.017,
2014-04,0.015,
2014-07,0.015,
