"",BBEX3.M.ERN.EUR.CA.AB.A01,BBEX3.M.ERN.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Eritrea / EUR 1 = ERN ... (selling),
unit,ERN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:14,
1999-01,8.7504,
1999-02,8.4884,
1999-03,8.3328,
1999-04,8.8183,
1999-05,8.7130,
1999-06,8.5984,
1999-07,8.8665,
1999-08,8.6758,
1999-09,8.7568,
1999-10,8.7379,
1999-11,9.9138,comment
1999-12,9.7563,
2000-01,9.5894,
2000-02,9.4109,
2000-03,9.3004,
2000-04,8.9463,
2000-05,9.1064,
2000-06,9.2509,
2000-07,9.0006,
2000-08,8.6107,
2000-09,8.5855,
2000-10,8.2421,
2000-11,8.2537,
2000-12,9.5615,
2001-01,9.4503,
2001-02,9.3565,
2001-03,9.2793,
2001-04,9.2937,
2001-05,8.8147,
2001-06,8.7797,
2001-07,9.0135,
2001-08,9.3596,
2001-09,12.4900,comment
2001-10,12.5624,
2001-11,12.5697,
2001-12,12.6637,
2002-01,12.5133,
2002-02,12.5592,
2002-03,12.5331,
2002-04,12.5915,
2002-05,12.6976,
2002-06,12.9284,
2002-07,13.9950,
2002-08,13.9227,
2002-09,13.8192,
2002-10,13.9848,
2002-11,14.2147,
2002-12,14.3238,
2003-01,15.3464,
2003-02,15.3464,
2003-03,15.1265,
2003-04,15.3190,
2003-05,15.8118,
2003-06,15.7667,
2003-07,15.6637,
2003-08,15.3119,
2003-09,15.7991,
2003-10,15.8780,
2003-11,15.8513,
2003-12,16.3095,
2004-01,17.7458,
2004-02,17.8057,
2004-03,17.3961,
2004-04,17.2093,
2004-05,17.3256,
2004-06,17.3538,
2004-07,17.4772,
2004-08,17.5266,
2004-09,17.5407,
2004-10,17.7416,
2004-11,18.0447,
2004-12,18.3782,
2005-01,20.3105,
2005-02,20.4965,
2005-03,20.2265,
2005-04,20.1410,
2005-05,19.5110,
2005-06,18.8660,
2005-07,18.8795,
2005-08,19.2065,
2005-09,18.8450,
2005-10,18.8660,
2005-11,18.3260,
2005-12,18.6335,
2006-01,19.0205,
2006-02,18.5405,
2006-03,18.8630,
2006-04,19.2320,
2006-05,19.9745,
2006-06,19.5500,
2006-07,19.7255,
2006-08,19.9775,
2006-09,19.8350,
2006-10,19.8440,
2006-11,20.4335,
2006-12,20.4860,
2007-01,20.1395,
2007-02,20.4950,
2007-03,20.7770,
2007-04,21.1790,
2007-05,20.9165,
2007-06,20.9540,
2007-07,21.2615,
2007-08,21.1775,
2007-09,21.9890,
2007-10,22.3745,
2007-11,22.8560,
2007-12,22.5230,
2008-01,22.8485,
2008-02,23.3975,
2008-03,24.4475,
2008-04,24.2555,
2008-05,24.0920,
2008-06,24.3305,
2008-07,24.3965,
2008-08,22.9160,
2008-09,22.2800,
2008-10,20.3570,
2008-11,20.1005,
2008-12,21.2300,
2009-01,20.4455,
2009-02,19.9250,
2009-03,20.5130,
2009-04,20.4530,
2009-05,21.5795,
2009-06,21.8345,
2009-07,21.8570,
2009-08,22.1420,
2009-09,22.7015,
2009-10,22.8515,
2009-11,23.3660,
2009-12,22.3670,
2010-01,21.7520,
2010-02,21.0020,
2010-03,20.9750,
2010-04,20.6225,
2010-05,19.2125,
2010-06,19.2650,
2010-07,20.3840,
2010-08,19.8125,
2010-09,20.7605,
2010-10,21.5330,
2010-11,20.5100,
2010-12,20.6315,
2011-01,21.3620,
2011-02,21.3980,
2011-03,21.8405,
2011-04,22.9835,
2011-05,22.1855,
2011-06,22.0805,
2011-07,22.2005,
2011-08,22.5110,
2011-09,20.9915,
2011-10,21.8075,
2011-11,20.8115,
2011-12,20.0585,
2012-01,20.4455,
2012-02,20.8550,
2012-03,20.6690,
2012-04,20.5700,
2012-05,19.9115,
2012-06,19.3955,
2012-07,19.1525,
2012-08,19.5710,
2012-09,20.1170,
2012-10,20.1020,
2012-11,20.2370,
2012-12,20.6525,
2013-01,20.9135,
2013-02,20.6615,
2013-03,19.9745,
2013-04,20.3825,
2013-05,20.2355,
2013-06,20.2925,
2013-07,20.6900,
2013-08,20.6435,
2013-09,21.0170,
2013-10,21.4565,
2013-11,21.1475,
2013-12,21.4040,
2014-01,21.1565,
2014-02,21.2540,
2014-03,21.4070,
2014-04,21.5615,
2014-05,21.1850,
2014-06,21.1805,
2014-07,20.9705,
2014-08,20.5235,
2014-09,19.7885,
2014-10,19.8560,
2014-11,19.4375,
2014-12,19.0610,
2015-01,17.7995,
2015-02,17.7860,
"","Source: Bank of Eritrea, Asmara.",
"","Comment on 1999-11: On 15 November 1999, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  12 November 1999: EUR 1 = ERN 8.4276 / 8.6383  15 November 1999: EUR 1 = ERN 9.9464 / 10.1558.  Calculated devaluation:15.1% (middle rate).",
"","Comment on 2001-09: On 10 September 2001, the nakfa was devalued. We recorded the following exchange rates (buying/selling rate).  7 September 2001: EUR 1 = ERN 9.0494 / 9.1382  10 September 2001: EUR 1 = ERN 12.1718 / 12.4900.  Calculated devaluation:26.3% (middle rate).",
