"",BBK01.OECO04U,BBK01.OECO04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:00,
2002-01,-0.005,
2002-04,-0.154,
2002-07,0.003,
2002-10,0.045,
2003-01,0.008,
2003-04,-0.027,
2003-07,0.017,
2003-10,-0.015,
2004-01,-0.022,
2004-04,-0.010,
2004-07,0.038,
2004-10,0.016,
2005-01,-0.015,
2005-04,-0.026,
2005-07,-0.010,
2005-10,-0.045,
2006-01,-0.012,
2006-04,-0.034,
2006-07,-0.040,
2006-10,-0.037,
2007-01,0.008,
2007-04,-0.020,
2007-07,-0.033,
2007-10,-0.005,
2008-01,-0.013,
2008-04,0.025,
2008-07,-0.038,
2008-10,0.002,
2009-01,0.022,
2009-04,0.021,
2009-07,0.041,
2009-10,0.020,
2010-01,0.016,
2010-04,0.006,
2010-07,0.012,
2010-10,-0.010,
2011-01,-0.019,
2011-04,-0.018,
2011-07,-0.018,
2011-10,-0.004,
2012-01,0.107,
2012-04,-0.020,
2012-07,0.014,
2012-10,0.039,
2013-01,-0.012,
2013-04,-0.015,
2013-07,-0.008,
2013-10,0.012,
2014-01,-0.006,
2014-04,-0.025,
2014-07,0.031,
