"",BBK01.OEXO03J,BBK01.OEXO03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:22,
2002-01,0.147,
2002-04,0.136,
2002-07,0.123,
2002-10,0.107,
2003-01,0.136,
2003-04,0.114,
2003-07,0.118,
2003-10,0.109,
2004-01,0.134,
2004-04,0.094,
2004-07,0.080,
2004-10,0.073,
2005-01,0.088,
2005-04,0.079,
2005-07,0.091,
2005-10,0.084,
2006-01,0.111,
2006-04,0.090,
2006-07,0.097,
2006-10,0.091,
2007-01,0.125,
2007-04,0.103,
2007-07,0.131,
2007-10,0.114,
2008-01,0.123,
2008-04,0.113,
2008-07,0.125,
2008-10,0.140,
2009-01,0.197,
2009-04,0.106,
2009-07,0.097,
2009-10,0.144,
2010-01,0.124,
2010-04,0.080,
2010-07,0.076,
2010-10,0.094,
2011-01,0.121,
2011-04,0.110,
2011-07,0.084,
2011-10,0.099,
2012-01,0.131,
2012-04,0.077,
2012-07,0.102,
2012-10,0.118,
2013-01,0.107,
2013-04,0.077,
2013-07,0.061,
2013-10,0.055,
2014-01,0.062,
2014-04,0.054,
2014-07,0.054,
