"",BBNZ1.Q.DE.N.K.0112.A,BBNZ1.Q.DE.N.K.0112.A_FLAGS
"",Germany / National accounts / Use of GDP / Net Exports of goods and services / Contribution of growth to GDP,
unit,Prozent (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:46,
1992-01,-1.2,
1992-04,-0.2,
1992-07,-0.4,
1992-10,-1.7,
1993-01,0.3,
1993-04,0.2,
1993-07,-0.8,
1993-10,0.9,
1994-01,-0.2,
1994-04,0.5,
1994-07,0.0,
1994-10,-0.6,
1995-01,0.0,
1995-04,-0.6,
1995-07,-0.1,
1995-10,0.4,
1996-01,-0.1,
1996-04,0.4,
1996-07,0.8,
1996-10,0.7,
1997-01,0.2,
1997-04,1.0,
1997-07,1.1,
1997-10,0.9,
1998-01,1.0,
1998-04,0.0,
1998-07,-0.8,
1998-10,-1.3,
1999-01,-1.8,
1999-04,-1.0,
1999-07,-0.7,
1999-10,0.2,
2000-01,1.8,
2000-04,1.1,
2000-07,0.6,
2000-10,0.1,
2001-01,1.0,
2001-04,0.8,
2001-07,1.9,
2001-10,2.3,
2002-01,2.2,
2002-04,2.6,
2002-07,2.3,
2002-10,1.5,
2003-01,-0.9,
2003-04,-1.3,
2003-07,-0.8,
2003-10,-0.9,
2004-01,1.9,
2004-04,2.6,
2004-07,0.4,
2004-10,0.9,
2005-01,0.9,
2005-04,-0.2,
2005-07,1.3,
2005-10,0.5,
2006-01,0.0,
2006-04,0.5,
2006-07,0.6,
2006-10,2.8,
2007-01,1.9,
2007-04,2.2,
2007-07,1.6,
2007-10,0.8,
2008-01,1.0,
2008-04,1.3,
2008-07,-0.3,
2008-10,-1.9,
2009-01,-4.6,
2009-04,-4.0,
2009-07,-2.2,
2009-10,0.5,
2010-01,2.0,
2010-04,1.1,
2010-07,1.3,
2010-10,0.7,
2011-01,1.5,
2011-04,0.8,
2011-07,0.4,
2011-10,0.2,
2012-01,1.1,
2012-04,1.7,
2012-07,1.7,
2012-10,0.6,
2013-01,-0.4,
2013-04,-0.4,
2013-07,-1.4,
2013-10,0.0,
2014-01,0.3,
2014-04,-0.1,
2014-07,0.8,
2014-10,0.7,
