"",BBK01.BJ8066,BBK01.BJ8066_FLAGS
"",General government debt as defined in the Maastricht Treaty as a % of GDP - Germany - state government,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:19,
1991,12.5,
1992,12.8,
1993,13.7,
1994,14.1,
1995,14.7,
1996,15.7,
1997,16.3,
1998,16.6,
1999,16.7,
2000,16.7,
2001,17.4,
2002,18.5,
2003,19.8,
2004,20.5,
2005,21.2,
2006,20.8,
2007,20.0,
2008,21.1,
2009,23.7,
2010,24.4,Provisional value
2011,23.8,Provisional value
2012,24.4,Provisional value
2013,23.2,Provisional value
