"",BBSF2.M.1.T.00000.SON01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.SON01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Other funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:30,
2009-09,625,
2009-10,541,
2009-11,2449,
2009-12,566,
2010-01,606,
2010-02,90,
2010-03,436,
2010-04,138,
2010-05,415,
2010-06,99,
2010-07,580,
2010-08,373,
2010-09,422,
2010-10,265,
2010-11,451,
2010-12,497,
2011-01,100,
2011-02,223,
2011-03,118,
2011-04,195,
2011-05,348,
2011-06,304,
2011-07,493,
2011-08,1636,
2011-09,62,
2011-10,119,
2011-11,987,
2011-12,416,
2012-01,151,
2012-02,164,
2012-03,272,
2012-04,314,
2012-05,635,
2012-06,157,
2012-07,263,
2012-08,639,
2012-09,255,
2012-10,145,
2012-11,967,
2012-12,473,
2013-01,185,
2013-02,111,
2013-03,492,
2013-04,1023,
2013-05,484,
2013-06,87,
2013-07,435,
2013-08,133,
2013-09,480,
2013-10,60,
2013-11,220,
2013-12,654,
2014-01,344,
2014-02,670,
2014-03,486,
2014-04,147,
2014-05,281,
2014-06,338,
2014-07,662,
2014-08,274,
2014-09,381,
2014-10,360,
2014-11,685,
