"",BBDP1.M.DE.N.VPI.C.SVXR.I10.A,BBDP1.M.DE.N.VPI.C.SVXR.I10.A_FLAGS
"",Consumer price index / Germany / Unadjusted figure / Services excluding basic rent,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:50:05,
2000-01,84.2,
2000-02,84.4,
2000-03,84.0,
2000-04,84.3,
2000-05,83.8,
2000-06,84.2,
2000-07,85.3,
2000-08,85.0,
2000-09,84.4,
2000-10,84.2,
2000-11,84.0,
2000-12,86.7,
2001-01,85.3,
2001-02,86.0,
2001-03,85.8,
2001-04,85.9,
2001-05,85.8,
2001-06,86.3,
2001-07,87.4,
2001-08,87.3,
2001-09,86.7,
2001-10,86.5,
2001-11,86.3,
2001-12,89.0,
2002-01,87.3,
2002-02,88.1,
2002-03,88.0,
2002-04,87.4,
2002-05,88.1,
2002-06,88.5,
2002-07,89.7,
2002-08,89.6,
2002-09,88.8,
2002-10,88.5,
2002-11,88.2,
2002-12,90.7,
2003-01,88.7,
2003-02,89.4,
2003-03,89.2,
2003-04,89.4,
2003-05,89.1,
2003-06,89.7,
2003-07,90.6,
2003-08,90.9,
2003-09,90.1,
2003-10,89.8,
2003-11,89.4,
2003-12,91.8,
2004-01,90.7,
2004-02,91.4,
2004-03,91.2,
2004-04,91.3,
2004-05,91.3,
2004-06,91.7,
2004-07,92.6,
2004-08,93.0,
2004-09,92.2,
2004-10,92.0,
2004-11,91.5,
2004-12,94.2,
2005-01,91.8,
2005-02,92.4,
2005-03,92.6,
2005-04,91.4,
2005-05,92.2,
2005-06,92.3,
2005-07,93.6,
2005-08,93.8,
2005-09,92.5,
2005-10,92.4,
2005-11,92.1,
2005-12,94.3,
2006-01,92.3,
2006-02,93.3,
2006-03,92.9,
2006-04,92.9,
2006-05,92.6,
2006-06,93.4,
2006-07,94.7,
2006-08,94.5,
2006-09,93.5,
2006-10,93.5,
2006-11,93.3,
2006-12,95.5,
2007-01,94.3,
2007-02,95.3,
2007-03,95.2,
2007-04,95.9,
2007-05,95.9,
2007-06,95.9,
2007-07,97.4,
2007-08,97.4,
2007-09,96.6,
2007-10,96.3,
2007-11,96.1,
2007-12,98.5,
2008-01,96.6,
2008-02,97.5,
2008-03,97.9,
2008-04,96.5,
2008-05,97.3,
2008-06,97.5,
2008-07,99.2,
2008-08,99.1,
2008-09,98.1,
2008-10,97.8,
2008-11,97.8,
2008-12,100.3,
2009-01,98.2,
2009-02,99.2,
2009-03,98.8,
2009-04,98.9,
2009-05,98.8,
2009-06,99.0,
2009-07,100.8,
2009-08,100.7,
2009-09,99.4,
2009-10,99.4,
2009-11,99.0,
2009-12,101.4,
2010-01,98.8,
2010-02,99.8,
2010-03,99.9,
2010-04,99.3,
2010-05,99.4,
2010-06,99.7,
2010-07,101.0,
2010-08,101.2,
2010-09,100.1,
2010-10,100.0,
2010-11,100.0,
2010-12,100.9,
2011-01,99.7,
2011-02,100.6,
2011-03,100.8,
2011-04,100.3,
2011-05,100.3,
2011-06,101.0,
2011-07,102.2,
2011-08,102.2,
2011-09,101.2,
2011-10,100.9,
2011-11,100.9,
2011-12,102.1,
2012-01,100.9,
2012-02,101.9,
2012-03,102.2,
2012-04,101.3,
2012-05,101.7,
2012-06,102.0,
2012-07,103.6,
2012-08,103.5,
2012-09,102.6,
2012-10,102.4,
2012-11,102.7,
2012-12,104.0,
2013-01,101.9,
2013-02,103.0,
2013-03,103.7,
2013-04,101.8,
2013-05,103.2,
2013-06,103.7,
2013-07,105.1,
2013-08,105.3,
2013-09,104.3,
2013-10,103.6,
2013-11,104.3,
2013-12,105.5,
2014-01,104.1,
2014-02,105.1,
2014-03,105.4,
2014-04,104.7,
2014-05,104.3,
2014-06,105.4,
2014-07,106.7,
2014-08,106.9,
2014-09,105.8,
2014-10,105.4,
2014-11,105.7,
2014-12,107.0,
2015-01,105.2,
2015-02,106.7,Estimated value
