"",BBK01.OEHB21S,BBK01.OEHB21S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:17,
2002-01,0.474,
2002-04,0.448,
2002-07,0.513,
2002-10,0.564,
2003-01,0.447,
2003-04,0.437,
2003-07,0.454,
2003-10,0.595,
2004-01,0.517,
2004-04,0.527,
2004-07,0.589,
2004-10,0.682,
2005-01,0.694,
2005-04,0.575,
2005-07,0.660,
2005-10,0.676,
2006-01,0.696,
2006-04,0.728,
2006-07,0.751,
2006-10,0.773,
2007-01,0.890,
2007-04,0.861,
2007-07,0.735,
2007-10,0.752,
2008-01,0.760,
2008-04,0.810,
2008-07,0.863,
2008-10,0.878,
2009-01,0.884,
2009-04,0.961,
2009-07,0.946,
2009-10,0.883,
2010-01,1.010,
2010-04,1.308,
2010-07,1.373,
2010-10,1.427,
2011-01,1.559,
2011-04,1.541,
2011-07,1.567,
2011-10,1.625,
2012-01,1.664,
2012-04,1.602,
2012-07,1.632,
2012-10,1.601,
2013-01,1.639,
2013-04,1.593,
2013-07,1.616,
2013-10,1.636,
2014-01,1.646,
2014-04,1.661,
2014-07,1.715,
